from_transaction,to_transaction,sequence_gap_seconds
3413281,3413728,6873.0
3413728,3424055,260180.0
3424055,3434478,273827.0
3434478,3435333,47131.0
3435333,3437655,61126.0
3437655,3437766,12348.0
3437766,3437776,774.0
3437776,3444991,206116.0
3444991,3448307,100819.0
3448307,3448367,1594.0
3448367,3464217,516507.0
3464217,3466548,78907.0
3466548,3470570,145853.0
3470570,3476959,194842.0
3476959,3477003,737.0
3477003,3477849,26851.0
3477849,3477855,718.0
3477855,3477860,1001.0
3477860,3477896,6799.0
3477896,3483990,207627.0
3483990,3484190,3492.0
3484190,3491278,237730.0
3491278,3491295,782.0
3491295,3492024,16264.0
3492024,3492062,702.0
3492062,3504946,362892.0
3504946,3506592,57728.0
3506592,3510684,101337.0
3510684,3510687,40.0
3510687,3510787,1646.0
3510787,3517706,189324.0
3517706,3554680,1104609.0
3000900,3053284,1199653.0
3053284,3053464,4362.0
3053464,3053486,355.0
3053486,3066197,213319.0
3066197,3078003,226047.0
3078003,3078243,2176.0
3078243,3091030,185436.0
3091030,3103054,175733.0
3103054,3145720,934168.0
3145720,3147342,22967.0
3147342,3150841,90975.0
3150841,3159557,242205.0
3159557,3175502,455820.0
3175502,3195154,588490.0
3195154,3204596,277078.0
3204596,3229041,743032.0
3229041,3233460,97873.0
3233460,3234592,16543.0
3234592,3242044,191460.0
3242044,3249074,212498.0
3249074,3252587,96748.0
3252587,3305241,1549332.0
3305241,3308177,81772.0
3308177,3333050,539261.0
3333050,3348190,400681.0
3348190,3348217,599.0
3348217,3369787,608912.0
3369787,3399238,855739.0
3399238,3428543,750638.0
3428543,3440982,379579.0
3440982,3441012,505.0
3441012,3442162,21455.0
3442162,3459066,538681.0
3459066,3467715,300706.0
3467715,3478199,342389.0
3478199,3495965,551270.0
3495965,3504142,243985.0
3504142,3541130,1062127.0
3541130,3564890,689818.0
3564890,3566804,69143.0
3566804,3585037,609811.0
3080418,3556651,13015107.0
3115712,3361784,6680746.0
3078906,3148400,1358881.0
3148400,3170300,613787.0
3170300,3170598,6460.0
3170598,3171109,9045.0
3171109,3171138,479.0
3171138,3174836,99071.0
3174836,3175584,16203.0
3175584,3175601,609.0
3175601,3175636,1463.0
3175636,3177984,71907.0
3177984,3178160,3563.0
3178160,3178186,514.0
3178186,3211929,1022599.0
3211929,3212961,19219.0
3212961,3239565,745898.0
3239565,3263056,671958.0
3263056,3268983,153168.0
3268983,3268988,725.0
3268988,3269011,3823.0
3269011,3269299,24123.0
3269299,3271926,55609.0
3271926,3294261,670663.0
3294261,3303969,273000.0
3303969,3303985,771.0
3303985,3338184,805692.0
3338184,3363565,696907.0
3363565,3426667,1746139.0
3426667,3464835,1190951.0
3464835,3484229,623573.0
3484229,3485685,34842.0
3485685,3583357,2932649.0
3012681,3023920,258648.0
3023920,3031856,177402.0
3031856,3037646,146054.0
3037646,3049760,255114.0
3049760,3097954,799396.0
3097954,3109207,176117.0
3109207,3134682,568088.0
3134682,3135641,18845.0
3135641,3149168,341397.0
3149168,3149780,9299.0
3149780,3159703,260665.0
3159703,3192108,954735.0
3192108,3192391,4528.0
3192391,3193666,57788.0
3193666,3211851,538389.0
3211851,3237407,699366.0
3237407,3243620,163536.0
3243620,3248978,160339.0
3248978,3257221,239773.0
3257221,3282283,723816.0
3282283,3283846,58713.0
3283846,3284410,14198.0
3284410,3310528,753444.0
3310528,3323149,282813.0
3323149,3324697,17850.0
3324697,3347603,538320.0
3347603,3349519,65141.0
3349519,3368935,537248.0
3368935,3371152,72996.0
3371152,3386299,437605.0
3386299,3388649,74208.0
3388649,3421308,887520.0
3421308,3425308,115437.0
3425308,3428596,77935.0
3428596,3439664,309100.0
3439664,3443398,134414.0
3443398,3456162,392435.0
3456162,3488544,1074464.0
3488544,3492609,117784.0
3492609,3523444,872206.0
3523444,3526707,96721.0
3526707,3527109,31994.0
3527109,3552818,739926.0
3552818,3556012,92926.0
3556012,3581659,829250.0
3001124,3001450,7147.0
3001450,3002791,30118.0
3002791,3003768,44276.0
3003768,3004193,5588.0
3004193,3004698,7047.0
3004698,3004962,3748.0
3004962,3005203,3028.0
3005203,3006503,21803.0
3006503,3006705,9569.0
3006705,3006825,20747.0
3006825,3007131,9635.0
3007131,3007330,3730.0
3007330,3008950,23867.0
3008950,3009480,8802.0
3009480,3009647,2909.0
3009647,3010035,10549.0
3010035,3010793,41200.0
3010793,3011063,4446.0
3011063,3013512,41572.0
3013512,3013616,6236.0
3013616,3013922,27000.0
3013922,3014647,11407.0
3014647,3015068,4865.0
3015068,3016575,21481.0
3016575,3017225,13979.0
3017225,3017774,36372.0
3017774,3017785,88.0
3017785,3019560,25123.0
3019560,3020339,11103.0
3020339,3022116,59877.0
3022116,3022281,2194.0
3022281,3025061,68366.0
3025061,3025218,5200.0
3025218,3027191,27144.0
3027191,3028513,21139.0
3028513,3030106,54434.0
3030106,3032035,25684.0
3032035,3032805,42221.0
3032805,3032923,2736.0
3032923,3033592,10564.0
3033592,3033633,396.0
3033633,3034920,15696.0
3034920,3035372,6477.0
3035372,3035415,636.0
3035415,3036618,47931.0
3036618,3037747,17895.0
3037747,3039860,27215.0
3039860,3041318,51729.0
3041318,3042702,17133.0
3042702,3045188,65442.0
3045188,3048842,55137.0
3048842,3048852,932.0
3048852,3052462,69299.0
3052462,3052481,263.0
3052481,3053478,45254.0
3053478,3054851,17410.0
3054851,3055839,11781.0
3055839,3056189,4449.0
3056189,3056576,5474.0
3056576,3057034,7115.0
3057034,3059081,53976.0
3059081,3059360,3042.0
3059360,3059812,5137.0
3059812,3060553,8357.0
3060553,3061328,9528.0
3061328,3065793,82440.0
3065793,3066024,2657.0
3066024,3066310,3830.0
3066310,3066353,731.0
3066353,3067643,46991.0
3067643,3067926,3194.0
3067926,3068190,3023.0
3068190,3069056,8734.0
3069056,3072350,69266.0
3072350,3074635,23289.0
3074635,3075311,7053.0
3075311,3075712,5158.0
3075712,3075987,3126.0
3075987,3076870,24244.0
3076870,3079467,41782.0
3079467,3081618,23147.0
3081618,3083775,53261.0
3083775,3083851,617.0
3083851,3083883,211.0
3083883,3085110,10789.0
3085110,3086184,10158.0
3086184,3090803,75285.0
3090803,3091395,4915.0
3091395,3092279,7712.0
3092279,3092477,1842.0
3092477,3095881,63671.0
3095881,3095995,753.0
3095995,3096599,4787.0
3096599,3099134,25585.0
3099134,3100188,40733.0
3100188,3100876,8124.0
3100876,3101594,6323.0
3101594,3102164,5102.0
3102164,3102440,2499.0
3102440,3104860,27987.0
3104860,3105209,10743.0
3105209,3107179,41226.0
3107179,3109631,24776.0
3109631,3109768,1763.0
3109768,3113127,66745.0
3113127,3114198,12331.0
3114198,3117343,70400.0
3117343,3118621,14553.0
3118621,3118824,2650.0
3118824,3120747,58164.0
3120747,3121522,9591.0
3121522,3122937,17911.0
3122937,3124481,54430.0
3124481,3126375,24956.0
3126375,3126634,3609.0
3126634,3127083,6643.0
3127083,3128912,64056.0
3128912,3130124,17307.0
3130124,3131926,64201.0
3131926,3132416,6949.0
3132416,3136013,90287.0
3136013,3137684,28655.0
3137684,3138582,44527.0
3138582,3139766,17527.0
3139766,3140555,12060.0
3140555,3140998,9770.0
3140998,3141034,1061.0
3141034,3141109,2999.0
3141109,3141360,20356.0
3141360,3142235,25678.0
3142235,3144065,24702.0
3144065,3144292,3732.0
3144292,3144690,8487.0
3144690,3146096,54219.0
3146096,3146771,10017.0
3146771,3149302,75311.0
3149302,3150206,12716.0
3150206,3151373,22491.0
3151373,3151388,475.0
3151388,3153709,65063.0
3153709,3153905,2851.0
3153905,3154900,21483.0
3154900,3156926,61102.0
3156926,3158194,26721.0
3158194,3158695,38063.0
3158695,3158876,3647.0
3158876,3159172,4672.0
3159172,3159953,12203.0
3159953,3160082,1880.0
3160082,3161233,25751.0
3161233,3161242,962.0
3161242,3167212,178148.0
3167212,3171162,130348.0
3171162,3172664,28109.0
3172664,3172757,4040.0
3172757,3172760,201.0
3172760,3172768,117.0
3172768,3176317,128554.0
3176317,3176697,7064.0
3176697,3179040,73588.0
3179040,3181319,41589.0
3181319,3182519,56301.0
3182519,3182900,6778.0
3182900,3183344,7229.0
3183344,3184499,23495.0
3184499,3185349,47018.0
3185349,3186142,13650.0
3186142,3188012,67458.0
3188012,3188059,788.0
3188059,3188538,8611.0
3188538,3189390,14389.0
3189390,3193280,110800.0
3193280,3194052,43583.0
3194052,3194438,6856.0
3194438,3195385,14262.0
3195385,3195801,7878.0
3195801,3195817,317.0
3195817,3196093,6814.0
3196093,3196214,4445.0
3196214,3196708,39011.0
3196708,3197795,19253.0
3197795,3199491,62616.0
3199491,3201151,31450.0
3201151,3201440,5589.0
3201440,3201899,11013.0
3201899,3203376,61417.0
3203376,3203566,3380.0
3203566,3204266,13048.0
3204266,3204511,5390.0
3204511,3204875,22827.0
3204875,3206007,39557.0
3206007,3208134,74268.0
3208134,3208972,14984.0
3208972,3209442,7986.0
3209442,3209486,732.0
3209486,3210042,10173.0
3210042,3210656,43817.0
3210656,3211588,19389.0
3211588,3212662,18539.0
3212662,3212869,4700.0
3212869,3213078,4935.0
3213078,3213085,93.0
3213085,3213102,297.0
3213102,3215780,80709.0
3215780,3216909,55137.0
3216909,3217283,7154.0
3217283,3218725,26314.0
3218725,3218858,3425.0
3218858,3221670,84096.0
3221670,3222155,40385.0
3222155,3222338,5475.0
3222338,3222517,3458.0
3222517,3222681,2743.0
3222681,3223184,8545.0
3223184,3224054,15681.0
3224054,3224546,10495.0
3224546,3224859,15526.0
3224859,3224935,15779.0
3224935,3224956,2634.0
3224956,3228021,71277.0
3228021,3230984,62479.0
3230984,3231040,713.0
3231040,3231060,365.0
3231060,3231455,10222.0
3231455,3233545,59530.0
3233545,3233724,2406.0
3233724,3234975,21753.0
3234975,3236194,50239.0
3236194,3237991,28160.0
3237991,3238934,47007.0
3238934,3239614,11378.0
3239614,3239680,986.0
3239680,3242030,43840.0
3242030,3242733,36858.0
3242733,3243007,4656.0
3243007,3243473,7330.0
3243473,3244731,20695.0
3244731,3244794,1249.0
3244794,3245151,9842.0
3245151,3246443,52352.0
3246443,3246544,2030.0
3246544,3247003,7964.0
3247003,3250841,101515.0
3250841,3252465,63218.0
3252465,3252960,8212.0
3252960,3253778,15256.0
3253778,3253886,2529.0
3253886,3256839,86462.0
3256839,3258150,56843.0
3258150,3262101,104743.0
3262101,3262491,7059.0
3262491,3262642,3762.0
3262642,3262645,38.0
3262645,3263094,36412.0
3263094,3263920,19096.0
3263920,3264552,11519.0
3264552,3264913,6219.0
3264913,3265381,8196.0
3265381,3265479,1920.0
3265479,3268245,81249.0
3268245,3268674,8306.0
3268674,3268868,6488.0
3268868,3269267,35566.0
3269267,3271558,42703.0
3271558,3272503,48849.0
3272503,3275395,85621.0
3275395,3276156,13650.0
3276156,3276190,476.0
3276190,3276977,13593.0
3276977,3278266,56887.0
3278266,3280474,39953.0
3280474,3282125,62996.0
3282125,3282690,9736.0
3282690,3283451,15634.0
3283451,3285027,61953.0
3285027,3286478,30884.0
3286478,3287733,54125.0
3287733,3289070,27632.0
3289070,3289627,41656.0
3289627,3291354,32915.0
3291354,3291808,10619.0
3291808,3292229,37723.0
3292229,3293403,23731.0
3293403,3294964,36726.0
3294964,3297903,83937.0
3297903,3299422,53002.0
3299422,3300712,24685.0
3300712,3300904,6021.0
3300904,3301286,34396.0
3301286,3301444,3658.0
3301444,3302808,24444.0
3302808,3303037,4193.0
3303037,3303149,1822.0
3303149,3306648,90637.0
3306648,3306931,4734.0
3306931,3307066,3256.0
3307066,3308004,47684.0
3308004,3309554,26788.0
3309554,3309820,3807.0
3309820,3310207,7887.0
3310207,3310393,6638.0
3310393,3310821,34239.0
3310821,3312208,20569.0
3312208,3312463,3680.0
3312463,3313564,16920.0
3313564,3313566,18.0
3313566,3314288,36112.0
3314288,3314509,7490.0
3314509,3314697,3784.0
3314697,3314814,2018.0
3314814,3315998,15448.0
3315998,3316911,13098.0
3316911,3317754,15078.0
3317754,3318608,41347.0
3318608,3319673,12827.0
3319673,3320640,11413.0
3320640,3321677,13525.0
3321677,3321838,2997.0
3321838,3321873,747.0
3321873,3321985,1987.0
3321985,3322306,15756.0
3322306,3324586,48286.0
3324586,3324598,203.0
3324598,3325699,14782.0
3325699,3326231,11739.0
3326231,3326873,37762.0
3326873,3327373,7223.0
3327373,3329627,28536.0
3329627,3329854,3260.0
3329854,3333602,84358.0
3333602,3334014,8337.0
3334014,3334553,38813.0
3334553,3337542,41430.0
3337542,3337614,1352.0
3337614,3338460,45095.0
3338460,3340264,29063.0
3340264,3342573,72310.0
3342573,3346162,91078.0
3346162,3346928,11382.0
3346928,3349920,84596.0
3349920,3350440,8533.0
3350440,3350652,5212.0
3350652,3351223,40589.0
3351223,3352345,20945.0
3352345,3352827,6946.0
3352827,3353129,4365.0
3353129,3353364,3310.0
3353364,3353375,204.0
3353375,3353743,6424.0
3353743,3354254,35108.0
3354254,3355203,24066.0
3355203,3356721,23784.0
3356721,3360249,102215.0
3360249,3360906,38640.0
3360906,3362943,37449.0
3362943,3364199,54071.0
3364199,3365643,25591.0
3365643,3365993,8054.0
3365993,3366103,3741.0
3366103,3371609,162921.0
3371609,3372040,15005.0
3372040,3373648,54740.0
3373648,3373651,56.0
3373651,3374044,6754.0
3374044,3374063,298.0
3374063,3374467,6818.0
3374467,3374473,134.0
3374473,3374902,10488.0
3374902,3375048,6843.0
3375048,3375086,3002.0
3375086,3375480,30028.0
3375480,3376221,15040.0
3376221,3376740,9291.0
3376740,3377458,11202.0
3377458,3379863,76464.0
3379863,3380651,15151.0
3380651,3384694,139570.0
3384694,3385258,10476.0
3385258,3385918,11517.0
3385918,3387716,65060.0
3387716,3389070,22850.0
3389070,3389906,22586.0
3389906,3390720,42268.0
3390720,3391634,15793.0
3391634,3392844,26210.0
3392844,3395027,65275.0
3395027,3395330,5590.0
3395330,3395523,3869.0
3395523,3398735,91983.0
3398735,3398764,946.0
3398764,3399813,49427.0
3399813,3401220,24349.0
3401220,3402235,48684.0
3402235,3404593,42647.0
3404593,3404631,637.0
3404631,3405612,48703.0
3405612,3406142,9954.0
3406142,3406479,5450.0
3406479,3407122,11630.0
3407122,3407247,2423.0
3407247,3408852,59320.0
3408852,3411372,45699.0
3411372,3412887,51986.0
3412887,3417310,104165.0
3417310,3417389,1234.0
3417389,3417641,4245.0
3417641,3418408,43993.0
3418408,3419750,22424.0
3419750,3419776,325.0
3419776,3419926,2327.0
3419926,3420449,8339.0
3420449,3421251,15870.0
3421251,3421825,36285.0
3421825,3422210,7267.0
3422210,3422775,8579.0
3422775,3423167,5391.0
3423167,3424046,12901.0
3424046,3425171,25866.0
3425171,3425353,23580.0
3425353,3425570,5417.0
3425570,3426477,15653.0
3426477,3428016,25172.0
3428016,3428019,60.0
3428019,3429049,49385.0
3429049,3429863,14610.0
3429863,3430056,3467.0
3430056,3430217,2745.0
3430217,3431194,18379.0
3431194,3432565,55312.0
3432565,3433246,11117.0
3433246,3437010,101662.0
3437010,3437490,11942.0
3437490,3438255,43256.0
3438255,3439265,19249.0
3439265,3440033,13847.0
3440033,3440746,46472.0
3440746,3441678,18823.0
3441678,3442590,17463.0
3442590,3443055,11032.0
3443055,3443101,1869.0
3443101,3443498,35819.0
3443498,3445541,40910.0
3445541,3446086,38942.0
3446086,3446875,21264.0
3446875,3447518,12709.0
3447518,3447935,8039.0
3447935,3448827,48212.0
3448827,3448942,3685.0
3448942,3451083,49014.0
3451083,3451171,3526.0
3451171,3452320,51391.0
3452320,3452636,6235.0
3452636,3454907,79901.0
3454907,3457268,80045.0
3457268,3458493,23637.0
3458493,3459489,51726.0
3459489,3459543,1726.0
3459543,3461465,39088.0
3461465,3461545,1475.0
3461545,3461623,1869.0
3461623,3462451,48375.0
3462451,3464801,79452.0
3464801,3466537,35844.0
3466537,3474687,260204.0
3474687,3475227,13998.0
3475227,3475554,34791.0
3475554,3475805,6934.0
3475805,3476348,11752.0
3476348,3476774,9185.0
3476774,3477574,18137.0
3477574,3477627,1542.0
3477627,3480812,130488.0
3480812,3482191,27378.0
3482191,3484217,74142.0
3484217,3485517,27300.0
3485517,3485520,75.0
3485520,3490234,158673.0
3490234,3494167,139227.0
3494167,3495846,32802.0
3495846,3496098,5101.0
3496098,3496556,10642.0
3496556,3497225,43801.0
3497225,3497504,5554.0
3497504,3498309,15080.0
3498309,3498320,120.0
3498320,3498534,3297.0
3498534,3498903,7796.0
3498903,3500287,54975.0
3500287,3501595,22246.0
3501595,3501854,4502.0
3501854,3502559,13413.0
3502559,3503622,50253.0
3503622,3504442,14473.0
3504442,3505378,16239.0
3505378,3506540,48941.0
3506540,3507429,15020.0
3507429,3508303,13900.0
3508303,3508944,11744.0
3508944,3510146,52132.0
3510146,3510654,9143.0
3510654,3511944,22525.0
3511944,3512301,9886.0
3512301,3512943,39217.0
3512943,3513923,17386.0
3513923,3514336,7420.0
3514336,3514795,8881.0
3514795,3514988,4296.0
3514988,3514996,163.0
3514996,3516626,62155.0
3516626,3516754,2328.0
3516754,3520130,91905.0
3520130,3521223,20918.0
3521223,3522246,50776.0
3522246,3522271,563.0
3522271,3523343,20616.0
