device_id,DeviceType,DeviceInfo
DEVICE_SM-G935F Build/NRD90M,mobile,SM-G935F Build/NRD90M
DEVICE_SM-G935F Build/MMB29K,mobile,SM-G935F Build/MMB29K
DEVICE_LG-X180g Build/LMY47I,mobile,LG-X180g Build/LMY47I
DEVICE_SM-G925P Build/NRD90M,mobile,SM-G925P Build/NRD90M
DEVICE_es-us,mobile,es-us
DEVICE_SM-A300H Build/LRX22G,mobile,SM-A300H Build/LRX22G
DEVICE_SAMSUNG SM-T810 Build/NRD90M,mobile,SAMSUNG SM-T810 Build/NRD90M
DEVICE_Moto E (4) Plus Build/NMA26.42-69,mobile,Moto E (4) Plus Build/NMA26.42-69
DEVICE_rv:48.0,desktop,rv:48.0
DEVICE_LG-TP450 Build/NRD90U,mobile,LG-TP450 Build/NRD90U
DEVICE_SM-G930P Build/NRD90M,mobile,SM-G930P Build/NRD90M
DEVICE_KFASWI Build/LVY48F,mobile,KFASWI Build/LVY48F
DEVICE_SAMSUNG SM-N910A Build/MMB29M,mobile,SAMSUNG SM-N910A Build/MMB29M
DEVICE_SM-G925W8,mobile,SM-G925W8
DEVICE_SAMSUNG-SM-G930A Build/NRD90M,mobile,SAMSUNG-SM-G930A Build/NRD90M
DEVICE_Y635-L03 Build/HuaweiY635-L03,mobile,Y635-L03 Build/HuaweiY635-L03
DEVICE_SM-J200M Build/LMY47X,mobile,SM-J200M Build/LMY47X
DEVICE_BLADE V8 SE Build/NRD90M,mobile,BLADE V8 SE Build/NRD90M
DEVICE_7055A Build/KVT49L,mobile,7055A Build/KVT49L
DEVICE_SM-N920T Build/NRD90M,mobile,SM-N920T Build/NRD90M
DEVICE_SM-N950U Build/NMF26X,mobile,SM-N950U Build/NMF26X
DEVICE_SM-G950U1 Build/NRD90M,mobile,SM-G950U1 Build/NRD90M
DEVICE_SAMSUNG SM-G920A Build/NRD90M,mobile,SAMSUNG SM-G920A Build/NRD90M
DEVICE_HTC Desire 650 Build/MMB29M,mobile,HTC Desire 650 Build/MMB29M
DEVICE_Pixel Build/OPR3.170623.013,mobile,Pixel Build/OPR3.170623.013
DEVICE_SM-G930T Build/NRD90M,mobile,SM-G930T Build/NRD90M
DEVICE_SAMSUNG SM-G892A Build/NRD90M,mobile,SAMSUNG SM-G892A Build/NRD90M
DEVICE_SM-J120H Build/LMY47V,mobile,SM-J120H Build/LMY47V
DEVICE_Moto G (4) Build/NPJS25.93-14-10,mobile,Moto G (4) Build/NPJS25.93-14-10
DEVICE_Redmi Note 4 Build/MMB29M,mobile,Redmi Note 4 Build/MMB29M
DEVICE_KFGIWI Build/LVY48F,mobile,KFGIWI Build/LVY48F
DEVICE_Z970,mobile,Z970
DEVICE_Lenovo PB1-750M Build/S100,mobile,Lenovo PB1-750M Build/S100
DEVICE_LG-D373 Build/KOT49I.V10a,mobile,LG-D373 Build/KOT49I.V10a
DEVICE_SM-P550 Build/MMB29M,mobile,SM-P550 Build/MMB29M
DEVICE_rv:49.0,desktop,rv:49.0
DEVICE_Moto G (5) Plus Build/NPNS25.137-15-11,mobile,Moto G (5) Plus Build/NPNS25.137-15-11
DEVICE_M4 SS4457 Build/MRA58K,mobile,M4 SS4457 Build/MRA58K
DEVICE_SAMSUNG SM-G935F Build/NRD90M,mobile,SAMSUNG SM-G935F Build/NRD90M
DEVICE_FRD-L04 Build/HUAWEIFRD-L04,mobile,FRD-L04 Build/HUAWEIFRD-L04
DEVICE_REX,mobile,REX
DEVICE_SM-G610M Build/MMB29K,mobile,SM-G610M Build/MMB29K
DEVICE_Ilium LT510 Build/MRA58K,mobile,Ilium LT510 Build/MRA58K
DEVICE_SM-J320M Build/LMY47V,mobile,SM-J320M Build/LMY47V
DEVICE_SM-G930U Build/NRD90M,mobile,SM-G930U Build/NRD90M
DEVICE_CAM-L03 Build/HUAWEICAM-L03,mobile,CAM-L03 Build/HUAWEICAM-L03
DEVICE_SAMSUNG-SM-G891A Build/NRD90M,mobile,SAMSUNG-SM-G891A Build/NRD90M
DEVICE_SM-G530T,mobile,SM-G530T
DEVICE_Z983 Build/NMF26F,mobile,Z983 Build/NMF26F
DEVICE_KFSAWI,mobile,KFSAWI
DEVICE_Edison,mobile,Edison
DEVICE_SM-G900H Build/MMB29K,mobile,SM-G900H Build/MMB29K
DEVICE_TRT-L53 Build/HUAWEITRT-L53,mobile,TRT-L53 Build/HUAWEITRT-L53
DEVICE_SM-G935P Build/NRD90M,mobile,SM-G935P Build/NRD90M
DEVICE_SM-G935V Build/NRD90M,mobile,SM-G935V Build/NRD90M
DEVICE_SM-G928V Build/NRD90M,mobile,SM-G928V Build/NRD90M
DEVICE_Ilium LT500 Build/LMY47O,mobile,Ilium LT500 Build/LMY47O
DEVICE_SM-G955F Build/NRD90M,mobile,SM-G955F Build/NRD90M
DEVICE_M4 SS4451 Build/LMY47D,mobile,M4 SS4451 Build/LMY47D
DEVICE_SAMSUNG SM-J727T1 Build/NRD90M,mobile,SAMSUNG SM-J727T1 Build/NRD90M
DEVICE_Moto Z (2,mobile,Moto Z (2
DEVICE_Pixel,mobile,Pixel
DEVICE_HUAWEI VNS-L23 Build/HUAWEIVNS-L23,mobile,HUAWEI VNS-L23 Build/HUAWEIVNS-L23
DEVICE_SM-N910V Build/MMB29M,mobile,SM-N910V Build/MMB29M
DEVICE_SAMSUNG-SM-T337A Build/LMY47X,mobile,SAMSUNG-SM-T337A Build/LMY47X
DEVICE_SM-J730G Build/NRD90M,mobile,SM-J730G Build/NRD90M
DEVICE_SAMSUNG SM-S727VL Build/MMB29M,mobile,SAMSUNG SM-S727VL Build/MMB29M
DEVICE_LG-D680 Build/KOT49I,mobile,LG-D680 Build/KOT49I
DEVICE_XT1565,mobile,XT1565
DEVICE_LT22i Build/6.2.A.1.100,mobile,LT22i Build/6.2.A.1.100
DEVICE_LG-H872 Build/NRD90U,mobile,LG-H872 Build/NRD90U
DEVICE_SM-A720F Build/MMB29K,mobile,SM-A720F Build/MMB29K
DEVICE_WAS-LX3 Build/HUAWEIWAS-LX3,mobile,WAS-LX3 Build/HUAWEIWAS-LX3
DEVICE_MotoG3 Build/MPIS24.65-33.1-2-16,mobile,MotoG3 Build/MPIS24.65-33.1-2-16
DEVICE_R8106,mobile,R8106
DEVICE_SM-G925I Build/MMB29K,mobile,SM-G925I Build/MMB29K
DEVICE_MotoE2(4G-LTE,mobile,MotoE2(4G-LTE
DEVICE_SM-T113NU Build/KTU84P,mobile,SM-T113NU Build/KTU84P
DEVICE_Windows NT 6.2,desktop,Windows NT 6.2
DEVICE_SM-G900P Build/MMB29M,mobile,SM-G900P Build/MMB29M
DEVICE_SM-J500M Build/LMY48B,mobile,SM-J500M Build/LMY48B
DEVICE_LGLS676 Build/MXB48T,mobile,LGLS676 Build/MXB48T
DEVICE_KFAUWI Build/LVY48F,mobile,KFAUWI Build/LVY48F
DEVICE_F3213 Build/36.1.A.1.86,mobile,F3213 Build/36.1.A.1.86
DEVICE_SM-G920I Build/NRD90M,mobile,SM-G920I Build/NRD90M
DEVICE_LGLS775 Build/NRD90U,mobile,LGLS775 Build/NRD90U
DEVICE_LG-K410 Build/LRX22G,mobile,LG-K410 Build/LRX22G
DEVICE_SM-S920L,mobile,SM-S920L
DEVICE_SM-P350 Build/MMB29M,mobile,SM-P350 Build/MMB29M
DEVICE_Moto C Plus Build/NRD90M.05.022,mobile,Moto C Plus Build/NRD90M.05.022
DEVICE_KFAPWI Build/KTU84M,mobile,KFAPWI Build/KTU84M
DEVICE_VS835,mobile,VS835
DEVICE_SM-G935T Build/NRD90M,mobile,SM-G935T Build/NRD90M
DEVICE_5080A Build/MRA58K,mobile,5080A Build/MRA58K
DEVICE_SAMSUNG SM-N950U Build/NMF26X,mobile,SAMSUNG SM-N950U Build/NMF26X
DEVICE_QMV7A,mobile,QMV7A
DEVICE_SAMSUNG SM-J500M Build/LMY48B,mobile,SAMSUNG SM-J500M Build/LMY48B
DEVICE_CHC-U03 Build/HuaweiCHC-U03,mobile,CHC-U03 Build/HuaweiCHC-U03
DEVICE_SAMSUNG SM-G890A Build/NRD90M,mobile,SAMSUNG SM-G890A Build/NRD90M
DEVICE_D5803 Build/23.5.A.1.291,mobile,D5803 Build/23.5.A.1.291
DEVICE_SAMSUNG SM-G955U Build/NRD90M,mobile,SAMSUNG SM-G955U Build/NRD90M
DEVICE_GT-I8190L Build/JZO54K,mobile,GT-I8190L Build/JZO54K
DEVICE_HUAWEI VNS-L21 Build/HUAWEIVNS-L21,mobile,HUAWEI VNS-L21 Build/HUAWEIVNS-L21
DEVICE_Moto G Play Build/MPIS24.241-15.3-7,mobile,Moto G Play Build/MPIS24.241-15.3-7
DEVICE_LG-K200 Build/MXB48T,mobile,LG-K200 Build/MXB48T
DEVICE_KFJWI,mobile,KFJWI
DEVICE_Alcatel_4060A,mobile,Alcatel_4060A
DEVICE_ZEIA8,mobile,ZEIA8
DEVICE_SM-G900V,mobile,SM-G900V
DEVICE_MOT-A6020l37 Build/LMY47V,mobile,MOT-A6020l37 Build/LMY47V
DEVICE_LG-H810,mobile,LG-H810
DEVICE_Moto G (4) Build/NPJ25.93-14.7,mobile,Moto G (4) Build/NPJ25.93-14.7
DEVICE_SM-J700M Build/LMY48B,mobile,SM-J700M Build/LMY48B
DEVICE_Ilium X710 Build/MRA58K,mobile,Ilium X710 Build/MRA58K
DEVICE_SM-A710M,mobile,SM-A710M
DEVICE_Moto Z2 Play Build/NPSS26.118-19-6,mobile,Moto Z2 Play Build/NPSS26.118-19-6
DEVICE_SM-N910H,mobile,SM-N910H
DEVICE_rv:55.0,desktop,rv:55.0
DEVICE_XT1635-01,mobile,XT1635-01
DEVICE_SM-T560 Build/KTU84P,mobile,SM-T560 Build/KTU84P
DEVICE_HUAWEI VNS-L53 Build/HUAWEIVNS-L53,mobile,HUAWEI VNS-L53 Build/HUAWEIVNS-L53
DEVICE_Linux x86_64,desktop,Linux x86_64
DEVICE_SM-G930R4 Build/NRD90M,mobile,SM-G930R4 Build/NRD90M
DEVICE_E2306 Build/26.3.A.1.33,mobile,E2306 Build/26.3.A.1.33
DEVICE_SAMSUNG SM-G530H Build/LRX22G,mobile,SAMSUNG SM-G530H Build/LRX22G
DEVICE_HTC,mobile,HTC
DEVICE_GT-I9300,mobile,GT-I9300
DEVICE_SAMSUNG SM-G950F Build/NRD90M,mobile,SAMSUNG SM-G950F Build/NRD90M
DEVICE_LG-K371,mobile,LG-K371
DEVICE_LG-X240 Build/MRA58K,mobile,LG-X240 Build/MRA58K
DEVICE_LGLS991,mobile,LGLS991
DEVICE_SM-A320FL Build/MMB29K,mobile,SM-A320FL Build/MMB29K
DEVICE_SM-T377P Build/NMF26X,mobile,SM-T377P Build/NMF26X
DEVICE_Android 6.0.1,mobile,Android 6.0.1
DEVICE_rv:58.0,desktop,rv:58.0
DEVICE_HUAWEI,mobile,HUAWEI
DEVICE_SAMSUNG SM-G930P Build/NRD90M,mobile,SAMSUNG SM-G930P Build/NRD90M
DEVICE_LG-K530 Build/MMB29M,mobile,LG-K530 Build/MMB29M
DEVICE_SM-T530NU Build/LRX22G,mobile,SM-T530NU Build/LRX22G
DEVICE_SGP521,mobile,SGP521
DEVICE_KFTBWI Build/LVY48F,mobile,KFTBWI Build/LVY48F
DEVICE_LG-H840 Build/NRD90U,mobile,LG-H840 Build/NRD90U
DEVICE_SM-G950F Build/NRD90M,mobile,SM-G950F Build/NRD90M
DEVICE_HTC U11 Build/NMF26X,mobile,HTC U11 Build/NMF26X
DEVICE_SM-G386T,mobile,SM-G386T
DEVICE_HTC One M9 Build/NRD90M,mobile,HTC One M9 Build/NRD90M
DEVICE_XT1650 Build/NCLS26.118-23-13-3,mobile,XT1650 Build/NCLS26.118-23-13-3
DEVICE_F5121 Build/34.3.A.0.228,mobile,F5121 Build/34.3.A.0.228
DEVICE_SM-S903VL,mobile,SM-S903VL
DEVICE_QTAQZ3 Build/LMY47V,mobile,QTAQZ3 Build/LMY47V
DEVICE_SM-A510M Build/NRD90M,mobile,SM-A510M Build/NRD90M
DEVICE_LG-H870 Build/NRD90U,mobile,LG-H870 Build/NRD90U
DEVICE_SM-T580 Build/NRD90M,mobile,SM-T580 Build/NRD90M
DEVICE_NX785QC8G,mobile,NX785QC8G
DEVICE_Z981 Build/MMB29M,mobile,Z981 Build/MMB29M
DEVICE_LGL33L/V100,mobile,LGL33L/V100
DEVICE_P4526A Build/NRD90M,mobile,P4526A Build/NRD90M
DEVICE_Blade V6 Max Build/MRA58K,mobile,Blade V6 Max Build/MRA58K
DEVICE_XT1710-02 Build/NDSS26.118-23-15,mobile,XT1710-02 Build/NDSS26.118-23-15
DEVICE_LG-H542 Build/MRA58K,mobile,LG-H542 Build/MRA58K
DEVICE_SM-T550 Build/NMF26X,mobile,SM-T550 Build/NMF26X
DEVICE_EVA-L09 Build/HUAWEIEVA-L09,mobile,EVA-L09 Build/HUAWEIEVA-L09
DEVICE_LG-K540 Build/MMB29M,mobile,LG-K540 Build/MMB29M
DEVICE_ONE TOUCH 4033A Build/JDQ39,mobile,ONE TOUCH 4033A Build/JDQ39
DEVICE_SM-G920F Build/NRD90M,mobile,SM-G920F Build/NRD90M
DEVICE_HTC Desire 10 lifestyle Build/MMB29M,mobile,HTC Desire 10 lifestyle Build/MMB29M
DEVICE_XT1585 Build/NCK25.118-10.5,mobile,XT1585 Build/NCK25.118-10.5
DEVICE_SAMSUNG SM-G610M Build/MMB29K,mobile,SAMSUNG SM-G610M Build/MMB29K
DEVICE_SM-A500M Build/KTU84P,mobile,SM-A500M Build/KTU84P
DEVICE_SM-G930F Build/NRD90M,mobile,SM-G930F Build/NRD90M
DEVICE_SM-G570M Build/MMB29K,mobile,SM-G570M Build/MMB29K
DEVICE_F3113 Build/33.3.A.1.97,mobile,F3113 Build/33.3.A.1.97
DEVICE_VK810,mobile,VK810
DEVICE_LG-M250 Build/NRD90U,mobile,LG-M250 Build/NRD90U
DEVICE_moto,mobile,moto
DEVICE_Le,mobile,Le
DEVICE_SAMSUNG SM-G930F Build/NRD90M,mobile,SAMSUNG SM-G930F Build/NRD90M
DEVICE_SM-T560NU Build/MMB29M,mobile,SM-T560NU Build/MMB29M
DEVICE_SAMSUNG SM-A520F Build/NRD90M,mobile,SAMSUNG SM-A520F Build/NRD90M
DEVICE_SM-A520F Build/NRD90M,mobile,SM-A520F Build/NRD90M
DEVICE_LG-LS777 Build/NRD90U,mobile,LG-LS777 Build/NRD90U
DEVICE_SAMSUNG SM-G930A Build/NRD90M,mobile,SAMSUNG SM-G930A Build/NRD90M
DEVICE_MDDRJS,desktop,MDDRJS
DEVICE_SAMSUNG SM-J701M Build/NRD90M,mobile,SAMSUNG SM-J701M Build/NRD90M
DEVICE_SM-G930V Build/MMB29M,mobile,SM-G930V Build/MMB29M
DEVICE_F5321,mobile,F5321
DEVICE_SM-A310M,mobile,SM-A310M
DEVICE_BAC-L03 Build/HUAWEIBAC-L03,mobile,BAC-L03 Build/HUAWEIBAC-L03
DEVICE_SM-J500FN,mobile,SM-J500FN
DEVICE_LGMP450 Build/NRD90U,mobile,LGMP450 Build/NRD90U
DEVICE_SM-G925V Build/NRD90M,mobile,SM-G925V Build/NRD90M
DEVICE_VS987 Build/NRD90U,mobile,VS987 Build/NRD90U
DEVICE_Blade V580 Build/LMY47D,mobile,Blade V580 Build/LMY47D
DEVICE_SAMSUNG-SM-N920A Build/NRD90M,mobile,SAMSUNG-SM-N920A Build/NRD90M
DEVICE_KFDOWI Build/LVY48F,mobile,KFDOWI Build/LVY48F
DEVICE_rv:54.0,desktop,rv:54.0
DEVICE_LG-LS998,mobile,LG-LS998
DEVICE_SM-T817V Build/NRD90M,mobile,SM-T817V Build/NRD90M
DEVICE_SM-T330NU Build/LMY47X,mobile,SM-T330NU Build/LMY47X
DEVICE_rv:41.0,desktop,rv:41.0
DEVICE_E5606 Build/30.2.A.1.21,mobile,E5606 Build/30.2.A.1.21
DEVICE_Moto Z2 Play Build/NPS26.74-16-1,mobile,Moto Z2 Play Build/NPS26.74-16-1
DEVICE_Nexus,mobile,Nexus
DEVICE_LGMS631 Build/MRA58K,mobile,LGMS631 Build/MRA58K
DEVICE_SM-N920P Build/NRD90M,mobile,SM-N920P Build/NRD90M
DEVICE_5011A Build/NRD90M,mobile,5011A Build/NRD90M
DEVICE_E6603 Build/32.4.A.1.54,mobile,E6603 Build/32.4.A.1.54
DEVICE_SM-G920P Build/NRD90M,mobile,SM-G920P Build/NRD90M
DEVICE_Linux i686,desktop,Linux i686
DEVICE_Redmi 4A Build/MMB29M,mobile,Redmi 4A Build/MMB29M
DEVICE_SM-T520,mobile,SM-T520
DEVICE_SM-G900M Build/LRX21T,mobile,SM-G900M Build/LRX21T
DEVICE_SM-T350 Build/NMF26X,mobile,SM-T350 Build/NMF26X
DEVICE_LG-H542 Build/LRX22G,mobile,LG-H542 Build/LRX22G
DEVICE_MotoG3-TE,mobile,MotoG3-TE
DEVICE_Lenovo,mobile,Lenovo
DEVICE_Moto Z2 Play Build/NPS26.118-19,mobile,Moto Z2 Play Build/NPS26.118-19
DEVICE_LG-V495/V49520l,mobile,LG-V495/V49520l
DEVICE_SM-G900W8,mobile,SM-G900W8
DEVICE_SAMSUNG SM-T580 Build/NRD90M,mobile,SAMSUNG SM-T580 Build/NRD90M
DEVICE_SM-S120VL,mobile,SM-S120VL
DEVICE_Lenovo K33b36 Build/MMB29M,mobile,Lenovo K33b36 Build/MMB29M
DEVICE_SAMSUNG SM-N920V Build/NRD90M,mobile,SAMSUNG SM-N920V Build/NRD90M
DEVICE_Hisense F20 Build/MMB29M,mobile,Hisense F20 Build/MMB29M
DEVICE_HUAWEI Y520-U03 Build/HUAWEIY520-U03,mobile,HUAWEI Y520-U03 Build/HUAWEIY520-U03
DEVICE_LG-H320 Build/LRX21Y,mobile,LG-H320 Build/LRX21Y
DEVICE_rv:45.0,desktop,rv:45.0
DEVICE_VS995 Build/NRD90M,mobile,VS995 Build/NRD90M
DEVICE_XT1063,mobile,XT1063
DEVICE_SAMSUNG-SM-G935A Build/NRD90M,mobile,SAMSUNG-SM-G935A Build/NRD90M
DEVICE_LG-M700 Build/NMF26X,mobile,LG-M700 Build/NMF26X
DEVICE_5054N,mobile,5054N
DEVICE_SM-G530H Build/LRX22G,mobile,SM-G530H Build/LRX22G
DEVICE_SAMSUNG-SM-T677A,mobile,SAMSUNG-SM-T677A
DEVICE_SM-J701M Build/NRD90M,mobile,SM-J701M Build/NRD90M
DEVICE_SM-J327VPP Build/NRD90M,mobile,SM-J327VPP Build/NRD90M
DEVICE_Z798BL Build/MMB29M,mobile,Z798BL Build/MMB29M
DEVICE_SAMSUNG SM-G925T Build/NRD90M,mobile,SAMSUNG SM-G925T Build/NRD90M
DEVICE_SM-J320H,mobile,SM-J320H
DEVICE_HUAWEI CUN-L03 Build/HUAWEICUN-L03,mobile,HUAWEI CUN-L03 Build/HUAWEICUN-L03
DEVICE_HTC Desire 530 Build/MMB29M,mobile,HTC Desire 530 Build/MMB29M
DEVICE_SM-T377V Build/NMF26X,mobile,SM-T377V Build/NMF26X
DEVICE_SM-G925T Build/NRD90M,mobile,SM-G925T Build/NRD90M
DEVICE_NetHelper70,desktop,NetHelper70
DEVICE_SM-G360T1 Build/LMY47X,mobile,SM-G360T1 Build/LMY47X
DEVICE_KFTHWI Build/KTU84M,mobile,KFTHWI Build/KTU84M
DEVICE_GT-P5210 Build/KOT49H,mobile,GT-P5210 Build/KOT49H
DEVICE_LG-H650 Build/MRA58K,mobile,LG-H650 Build/MRA58K
DEVICE_LG-H811 Build/MRA58K,mobile,LG-H811 Build/MRA58K
DEVICE_GT-P5210 Build/JDQ39,mobile,GT-P5210 Build/JDQ39
DEVICE_M4 SS4456 Build/LMY47V,mobile,M4 SS4456 Build/LMY47V
DEVICE_SAMSUNG-SGH-I337 Build/KOT49H,mobile,SAMSUNG-SGH-I337 Build/KOT49H
DEVICE_SM-A510M Build/LMY47X,mobile,SM-A510M Build/LMY47X
DEVICE_LG-K220 Build/MXB48T,mobile,LG-K220 Build/MXB48T
DEVICE_LG-H810/H81021z,mobile,LG-H810/H81021z
DEVICE_ONEPLUS A5000 Build/NMF26X,mobile,ONEPLUS A5000 Build/NMF26X
DEVICE_LG-TP260 Build/NRD90U,mobile,LG-TP260 Build/NRD90U
DEVICE_SM-G925I Build/NRD90M,mobile,SM-G925I Build/NRD90M
DEVICE_SM-G920T Build/NRD90M,mobile,SM-G920T Build/NRD90M
DEVICE_BNTV400,mobile,BNTV400
DEVICE_rv:47.0,desktop,rv:47.0
DEVICE_SM-J710MN Build/MMB29K,mobile,SM-J710MN Build/MMB29K
DEVICE_Android,mobile,Android
