region_id,region_code
REGION_239.0,239.0
REGION_478.0,478.0
REGION_210.0,210.0
REGION_305.0,305.0
REGION_335.0,335.0
REGION_452.0,452.0
REGION_198.0,198.0
REGION_366.0,366.0
REGION_333.0,333.0
REGION_193.0,193.0
REGION_443.0,443.0
REGION_393.0,393.0
REGION_427.0,427.0
REGION_540.0,540.0
REGION_127.0,127.0
REGION_278.0,278.0
REGION_102.0,102.0
REGION_506.0,506.0
REGION_468.0,468.0
REGION_185.0,185.0
REGION_459.0,459.0
REGION_213.0,213.0
REGION_190.0,190.0
REGION_501.0,501.0
REGION_211.0,211.0
REGION_145.0,145.0
REGION_119.0,119.0
REGION_529.0,529.0
REGION_254.0,254.0
REGION_270.0,270.0
REGION_328.0,328.0
REGION_356.0,356.0
REGION_451.0,451.0
REGION_312.0,312.0
REGION_313.0,313.0
REGION_283.0,283.0
REGION_139.0,139.0
REGION_146.0,146.0
REGION_430.0,430.0
REGION_233.0,233.0
REGION_530.0,530.0
REGION_241.0,241.0
REGION_453.0,453.0
REGION_339.0,339.0
REGION_535.0,535.0
REGION_386.0,386.0
REGION_395.0,395.0
REGION_162.0,162.0
REGION_408.0,408.0
REGION_131.0,131.0
REGION_372.0,372.0
REGION_464.0,464.0
REGION_482.0,482.0
REGION_306.0,306.0
REGION_470.0,470.0
REGION_406.0,406.0
REGION_326.0,326.0
REGION_503.0,503.0
REGION_488.0,488.0
REGION_514.0,514.0
REGION_298.0,298.0
REGION_172.0,172.0
REGION_402.0,402.0
REGION_290.0,290.0
REGION_244.0,244.0
REGION_111.0,111.0
REGION_144.0,144.0
REGION_338.0,338.0
REGION_385.0,385.0
REGION_401.0,401.0
REGION_234.0,234.0
REGION_133.0,133.0
REGION_467.0,467.0
REGION_112.0,112.0
REGION_260.0,260.0
REGION_314.0,314.0
REGION_426.0,426.0
REGION_527.0,527.0
REGION_493.0,493.0
REGION_248.0,248.0
REGION_199.0,199.0
REGION_252.0,252.0
REGION_178.0,178.0
REGION_249.0,249.0
REGION_348.0,348.0
REGION_153.0,153.0
REGION_189.0,189.0
REGION_382.0,382.0
REGION_345.0,345.0
REGION_235.0,235.0
REGION_462.0,462.0
REGION_300.0,300.0
REGION_200.0,200.0
REGION_516.0,516.0
REGION_445.0,445.0
REGION_168.0,168.0
REGION_137.0,137.0
REGION_101.0,101.0
REGION_513.0,513.0
REGION_351.0,351.0
REGION_117.0,117.0
REGION_214.0,214.0
REGION_323.0,323.0
REGION_159.0,159.0
REGION_360.0,360.0
REGION_163.0,163.0
REGION_217.0,217.0
REGION_466.0,466.0
REGION_329.0,329.0
REGION_257.0,257.0
REGION_400.0,400.0
REGION_518.0,518.0
REGION_434.0,434.0
REGION_243.0,243.0
REGION_410.0,410.0
REGION_379.0,379.0
REGION_180.0,180.0
REGION_187.0,187.0
REGION_297.0,297.0
REGION_519.0,519.0
REGION_302.0,302.0
REGION_341.0,341.0
REGION_201.0,201.0
REGION_526.0,526.0
REGION_474.0,474.0
REGION_307.0,307.0
REGION_292.0,292.0
REGION_389.0,389.0
REGION_349.0,349.0
REGION_528.0,528.0
REGION_120.0,120.0
REGION_262.0,262.0
REGION_397.0,397.0
REGION_280.0,280.0
REGION_439.0,439.0
REGION_416.0,416.0
REGION_236.0,236.0
REGION_219.0,219.0
REGION_353.0,353.0
REGION_471.0,471.0
REGION_450.0,450.0
REGION_156.0,156.0
REGION_489.0,489.0
REGION_134.0,134.0
REGION_275.0,275.0
REGION_479.0,479.0
REGION_515.0,515.0
REGION_277.0,277.0
REGION_265.0,265.0
REGION_294.0,294.0
REGION_463.0,463.0
REGION_182.0,182.0
REGION_522.0,522.0
REGION_368.0,368.0
REGION_276.0,276.0
REGION_301.0,301.0
REGION_376.0,376.0
REGION_232.0,232.0
REGION_435.0,435.0
REGION_104.0,104.0
REGION_247.0,247.0
REGION_202.0,202.0
REGION_373.0,373.0
REGION_309.0,309.0
REGION_381.0,381.0
REGION_340.0,340.0
REGION_259.0,259.0
REGION_369.0,369.0
REGION_255.0,255.0
REGION_250.0,250.0
REGION_105.0,105.0
REGION_282.0,282.0
REGION_160.0,160.0
REGION_208.0,208.0
REGION_227.0,227.0
REGION_125.0,125.0
REGION_390.0,390.0
REGION_174.0,174.0
REGION_429.0,429.0
REGION_509.0,509.0
REGION_321.0,321.0
REGION_284.0,284.0
REGION_322.0,322.0
REGION_166.0,166.0
REGION_303.0,303.0
REGION_215.0,215.0
REGION_458.0,458.0
REGION_155.0,155.0
REGION_316.0,316.0
REGION_196.0,196.0
REGION_446.0,446.0
REGION_279.0,279.0
REGION_396.0,396.0
REGION_358.0,358.0
REGION_195.0,195.0
REGION_361.0,361.0
REGION_417.0,417.0
REGION_223.0,223.0
REGION_151.0,151.0
REGION_377.0,377.0
REGION_124.0,124.0
REGION_113.0,113.0
REGION_206.0,206.0
REGION_238.0,238.0
REGION_237.0,237.0
REGION_517.0,517.0
REGION_481.0,481.0
REGION_318.0,318.0
REGION_286.0,286.0
REGION_507.0,507.0
REGION_457.0,457.0
REGION_268.0,268.0
REGION_245.0,245.0
