case_id,opened_at,closed_at,outcome,pattern,n_txns,exposure_usd,report_filed
CC-0149,2016-07-06 18:12:59,2016-07-07 14:12:59,cleared,none,1,0.0,No
CC-0150,2016-07-06 18:23:50,2016-07-08 03:23:50,confirmed_fraud,out_of_region_use,1,24.98,No
CC-0151,2016-07-06 18:28:29,2016-07-11 06:28:29,confirmed_fraud,card_not_present_fraud,6,1300.37,Yes
CC-0152,2016-07-06 19:08:28,2016-07-12 17:08:28,confirmed_fraud,account_takeover,3,308.67,No
CC-0153,2016-07-06 19:31:24,2016-07-10 17:31:24,confirmed_fraud,account_takeover,21,10081.08,Yes
CC-0154,2016-07-06 20:30:51,2016-07-11 00:30:51,confirmed_fraud,card_not_present_fraud,1,15.06,No
CC-0155,2016-07-06 20:40:03,2016-07-10 16:40:03,confirmed_fraud,card_not_present_fraud,1,60.67,No
CC-0156,2016-07-06 21:45:00,2016-07-12 00:45:00,confirmed_fraud,out_of_region_use,1,444.99,No
CC-0157,2016-07-06 21:50:37,2016-07-08 18:50:37,confirmed_fraud,account_takeover,1,33.91,No
CC-0158,2016-07-06 21:52:46,2016-07-09 22:52:46,confirmed_fraud,account_takeover,1,170.99,No
CC-0159,2016-07-06 21:58:32,2016-07-08 13:58:32,confirmed_fraud,account_takeover,1,50.03,No
CC-0160,2016-07-06 22:07:01,2016-07-08 17:07:01,confirmed_fraud,account_takeover,1,226.03,No
CC-0161,2016-07-06 22:10:14,2016-07-10 18:10:14,confirmed_fraud,card_not_present_fraud,1,300.06,No
CC-0162,2016-07-06 22:19:53,2016-07-11 03:19:53,confirmed_fraud,card_not_present_new_device,2,40.0,No
CC-0163,2016-07-06 22:40:30,2016-07-10 17:40:30,confirmed_fraud,account_takeover,1,140.91,No
CC-0164,2016-07-06 22:55:09,2016-07-08 03:55:09,confirmed_fraud,card_not_present_fraud,2,200.07,No
CC-0165,2016-07-06 23:08:11,2016-07-07 17:08:11,cleared,none,1,0.0,No
CC-0166,2016-07-06 23:40:24,2016-07-12 21:40:24,confirmed_fraud,card_not_present_new_device,1,199.97,No
CC-0167,2016-07-06 23:57:11,2016-07-08 13:57:11,confirmed_fraud,card_not_present_new_device,2,325.04,No
CC-0168,2016-07-06 23:58:54,2016-07-09 20:58:54,confirmed_fraud,account_takeover,1,47.86,No
CC-0169,2016-07-07 00:26:13,2016-07-10 21:26:13,confirmed_fraud,card_not_present_fraud,2,85.52,No
CC-0170,2016-07-07 00:40:37,2016-07-09 17:40:37,cleared,none,1,0.0,No
CC-0171,2016-07-07 01:21:32,2016-07-08 20:21:32,confirmed_fraud,out_of_region_use,1,110.0,No
CC-0172,2016-07-07 01:24:55,2016-07-09 22:24:55,confirmed_fraud,account_takeover,1,88.94,No
CC-0173,2016-07-07 01:54:12,2016-07-11 23:54:12,confirmed_fraud,card_not_present_fraud,1,49.56,No
CC-0174,2016-07-07 01:55:25,2016-07-11 17:55:25,confirmed_fraud,out_of_region_use,1,117.03,No
CC-0175,2016-07-07 02:30:28,2016-07-09 22:30:28,cleared,none,1,0.0,No
CC-0176,2016-07-07 02:41:42,2016-07-12 21:41:42,confirmed_fraud,out_of_region_use,4,1046.09,Yes
CC-0177,2016-07-07 02:41:50,2016-07-09 21:41:50,confirmed_fraud,account_takeover,3,263.7,No
CC-0178,2016-07-07 03:20:00,2016-07-11 08:20:00,confirmed_fraud,card_not_present_new_device,1,90.87,No
CC-0179,2016-07-07 04:40:19,2016-07-11 22:40:19,confirmed_fraud,account_takeover,1,91.97,No
CC-0180,2016-07-07 05:10:36,2016-07-10 01:10:36,cleared,none,1,0.0,No
CC-0181,2016-07-07 05:25:58,2016-07-09 23:25:58,confirmed_fraud,account_takeover,1,100.06,No
CC-0182,2016-07-07 05:32:05,2016-07-09 03:32:05,cleared,none,1,0.0,No
CC-0183,2016-07-07 06:51:42,2016-07-08 20:51:42,confirmed_fraud,card_not_present_new_device,1,75.04,No
CC-0184,2016-07-07 06:54:09,2016-07-10 23:54:09,confirmed_fraud,out_of_region_use,4,711.97,No
CC-0185,2016-07-07 06:55:41,2016-07-11 00:55:41,confirmed_fraud,card_not_present_fraud,1,47.81,No
CC-0186,2016-07-07 07:28:53,2016-07-10 21:28:53,confirmed_fraud,out_of_region_use,1,1186.96,Yes
CC-0187,2016-07-07 07:59:59,2016-07-09 14:59:59,confirmed_fraud,out_of_region_use,1,260.01,No
CC-0188,2016-07-07 08:13:32,2016-07-12 12:13:32,confirmed_fraud,out_of_region_use,3,557.61,No
CC-0189,2016-07-07 08:28:32,2016-07-08 04:28:32,cleared,none,1,0.0,No
CC-0190,2016-07-07 08:51:35,2016-07-11 16:51:35,confirmed_fraud,card_not_present_fraud,1,123.47,No
CC-0191,2016-07-07 08:54:48,2016-07-12 17:54:48,confirmed_fraud,account_takeover,1,48.92,No
CC-0192,2016-07-07 09:34:51,2016-07-11 20:34:51,confirmed_fraud,out_of_region_use,1,1442.99,Yes
CC-0193,2016-07-07 11:00:03,2016-07-08 21:00:03,confirmed_fraud,account_takeover,1,474.93,No
CC-0194,2016-07-07 11:41:49,2016-07-09 18:41:49,confirmed_fraud,account_takeover,1,161.09,No
CC-0195,2016-07-07 14:00:11,2016-07-10 06:00:11,confirmed_fraud,card_not_present_fraud,1,64.65,No
CC-0196,2016-07-07 17:23:27,2016-07-09 16:23:27,cleared,none,1,0.0,No
CC-0197,2016-07-07 17:36:56,2016-07-10 16:36:56,confirmed_fraud,card_not_present_fraud,1,50.15,No
CC-0198,2016-07-07 18:11:36,2016-07-10 15:11:36,cleared,none,1,0.0,No
CC-0199,2016-07-07 18:19:27,2016-07-10 04:19:27,confirmed_fraud,card_not_present_fraud,2,194.88,No
CC-0200,2016-07-07 19:40:20,2016-07-08 21:40:20,confirmed_fraud,account_takeover,5,879.97,No
CC-0201,2016-07-07 20:00:58,2016-07-11 10:00:58,confirmed_fraud,out_of_region_use,2,220.01,No
CC-0202,2016-07-07 20:11:18,2016-07-11 07:11:18,confirmed_fraud,card_not_present_new_device,2,299.91,No
CC-0203,2016-07-07 20:57:52,2016-07-11 17:57:52,confirmed_fraud,out_of_region_use,2,739.9,No
CC-0204,2016-07-07 21:36:37,2016-07-12 18:36:37,confirmed_fraud,card_not_present_fraud,1,78.84,No
CC-0205,2016-07-07 21:41:50,2016-07-12 01:41:50,confirmed_fraud,out_of_region_use,2,39.41,No
CC-0206,2016-07-07 22:10:18,2016-07-13 06:10:18,confirmed_fraud,card_not_present_fraud,1,64.74,No
CC-0207,2016-07-07 22:48:47,2016-07-12 18:48:47,confirmed_fraud,account_takeover,1,226.04,No
CC-0208,2016-07-07 23:18:32,2016-07-08 20:18:32,cleared,none,1,0.0,No
CC-0209,2016-07-07 23:35:30,2016-07-12 21:35:30,confirmed_fraud,out_of_region_use,2,267.02,No
CC-0210,2016-07-08 00:18:20,2016-07-08 21:18:20,cleared,none,1,0.0,No
CC-0211,2016-07-08 00:50:59,2016-07-11 17:50:59,confirmed_fraud,card_not_present_fraud,3,160.7,No
CC-0212,2016-07-08 01:31:52,2016-07-10 18:31:52,confirmed_fraud,account_takeover,1,60.0,No
CC-0213,2016-07-08 02:46:08,2016-07-13 20:46:08,confirmed_fraud,card_not_present_fraud,2,110.02,No
CC-0214,2016-07-08 02:57:13,2016-07-09 23:57:13,confirmed_fraud,out_of_region_use,1,280.0,No
CC-0215,2016-07-08 03:21:59,2016-07-13 00:21:59,confirmed_fraud,out_of_region_use,1,220.93,No
CC-0216,2016-07-08 04:23:31,2016-07-13 16:23:31,confirmed_fraud,account_takeover,1,335.05,No
CC-0217,2016-07-08 04:45:12,2016-07-13 18:45:12,confirmed_fraud,out_of_region_use,1,334.99,No
CC-0218,2016-07-08 04:59:33,2016-07-13 23:59:33,confirmed_fraud,card_not_present_fraud,1,100.06,No
CC-0219,2016-07-08 05:08:58,2016-07-10 01:08:58,cleared,none,1,0.0,No
CC-0220,2016-07-08 05:19:07,2016-07-12 14:19:07,confirmed_fraud,account_takeover,1,53.0,No
CC-0221,2016-07-08 07:40:34,2016-07-12 12:40:34,confirmed_fraud,out_of_region_use,1,335.01,No
CC-0222,2016-07-08 08:18:44,2016-07-11 02:18:44,cleared,none,1,0.0,No
CC-0223,2016-07-08 08:34:20,2016-07-13 02:34:20,confirmed_fraud,card_not_present_new_device,5,160.3,No
CC-0224,2016-07-08 08:35:19,2016-07-09 00:35:19,cleared,none,1,0.0,No
CC-0225,2016-07-08 08:44:15,2016-07-11 18:44:15,confirmed_fraud,out_of_region_use,1,57.97,No
CC-0226,2016-07-08 09:26:34,2016-07-12 16:26:34,confirmed_fraud,out_of_region_use,7,777.97,No
CC-0227,2016-07-08 09:49:20,2016-07-14 00:49:20,confirmed_fraud,card_not_present_fraud,1,78.86,No
CC-0228,2016-07-08 10:26:28,2016-07-13 23:26:28,confirmed_fraud,card_not_present_new_device,11,443.48,No
CC-0229,2016-07-08 13:55:40,2016-07-09 07:55:40,cleared,none,1,0.0,No
CC-0230,2016-07-08 14:18:09,2016-07-13 20:18:09,confirmed_fraud,card_not_present_new_device,3,307.24,No
CC-0231,2016-07-08 15:31:58,2016-07-10 02:31:58,confirmed_fraud,out_of_region_use,1,58.94,No
CC-0232,2016-07-08 15:37:59,2016-07-12 17:37:59,confirmed_fraud,card_not_present_new_device,5,1000.04,Yes
CC-0233,2016-07-08 16:22:46,2016-07-10 15:22:46,confirmed_fraud,card_not_present_new_device,1,14.92,No
CC-0234,2016-07-08 16:31:41,2016-07-11 14:31:41,cleared,none,1,0.0,No
CC-0235,2016-07-08 17:07:55,2016-07-14 02:07:55,confirmed_fraud,account_takeover,2,65.89,No
CC-0236,2016-07-08 17:10:42,2016-07-11 13:10:42,confirmed_fraud,out_of_region_use,2,135.98,No
CC-0237,2016-07-08 17:13:58,2016-07-11 18:13:58,confirmed_fraud,account_takeover,2,288.04,No
CC-0238,2016-07-08 18:00:25,2016-07-09 15:00:25,confirmed_fraud,card_not_present_new_device,11,617.74,No
CC-0239,2016-07-08 18:35:00,2016-07-10 16:35:00,cleared,none,1,0.0,No
CC-0240,2016-07-08 18:36:03,2016-07-10 03:36:03,confirmed_fraud,card_not_present_fraud,2,72.16,No
CC-0241,2016-07-08 18:54:06,2016-07-12 01:54:06,confirmed_fraud,card_not_present_new_device,2,99.98,No
CC-0242,2016-07-08 20:01:52,2016-07-10 08:01:52,confirmed_fraud,out_of_region_use,1,225.93,No
CC-0243,2016-07-08 20:55:54,2016-07-10 14:55:54,confirmed_fraud,out_of_region_use,5,140.15,No
CC-0244,2016-07-08 21:16:18,2016-07-12 05:16:18,confirmed_fraud,account_takeover,1,729.95,No
CC-0245,2016-07-08 21:24:42,2016-07-11 16:24:42,confirmed_fraud,card_not_present_new_device,1,50.04,No
CC-0246,2016-07-08 21:58:21,2016-07-09 20:58:21,confirmed_fraud,account_takeover,1,981.93,No
CC-0247,2016-07-08 22:12:07,2016-07-13 01:12:07,confirmed_fraud,card_not_present_fraud,1,78.86,No
CC-0248,2016-07-08 22:17:44,2016-07-11 16:17:44,cleared,none,1,0.0,No
CC-0249,2016-07-08 22:21:56,2016-07-13 19:21:56,confirmed_fraud,card_not_present_new_device,3,74.92,No
CC-0250,2016-07-08 22:37:17,2016-07-10 16:37:17,confirmed_fraud,account_takeover,2,224.87,No
CC-0251,2016-07-08 22:48:32,2016-07-09 16:48:32,confirmed_fraud,account_takeover,1,99.95,No
CC-0252,2016-07-08 23:20:58,2016-07-09 17:20:58,cleared,none,1,0.0,No
CC-0253,2016-07-08 23:57:25,2016-07-12 21:57:25,confirmed_fraud,account_takeover,1,40.06,No
