transaction_id,case_id
3010265|3011064|3011784,CC-0133
3010896,CC-0134
3000443|3000447|3001402|3008139|3009085|3012311|3012373|3012385,CC-0135
3007069|3008456|3008469|3010884,CC-0136
3000196|3003954|3009763|3009897|3009912,CC-0137
3013442,CC-0138
3011661,CC-0139
3012366,CC-0140
3001763|3006168|3009906|3013608,CC-0141
3013367,CC-0142
3010171,CC-0143
3013652,CC-0144
3008038|3009645|3010562|3012772|3012779,CC-0145
3010417,CC-0146
3003711|3003833|3004555|3011026,CC-0147
3011148,CC-0148
3013918,CC-0149
3013327,CC-0150
3012259|3012321|3012324|3012349|3012362|3013605,CC-0151
3014083|3014516|3014562,CC-0152
3000050|3000106|3001568|3001586|3003219|3003250|3005568|3005608|3007588|3008131|3008679|3008740|3008811|3008828|3008839|3009139|3009170|3009210|3009257|3009761|3011072,CC-0153
3012749,CC-0154
3010908,CC-0155
3012817,CC-0156
3011384,CC-0157
3012334,CC-0158
3013882,CC-0159
3010994,CC-0160
3014874,CC-0161
3013315|3013321,CC-0162
3014714,CC-0163
3013363|3013390,CC-0164
3014561,CC-0165
3015854,CC-0166
3011326|3013878,CC-0167
3011876,CC-0168
3010863|3015795,CC-0169
3014716,CC-0170
3015501,CC-0171
3012224,CC-0172
3016376,CC-0173
3014786,CC-0174
3016060,CC-0175
3011851|3011917|3015709|3015858,CC-0176
3015024|3015237|3015860,CC-0177
3013648,CC-0178
3012288,CC-0179
3016685,CC-0180
3016271,CC-0181
3017090,CC-0182
3015640,CC-0183
3012882|3012889|3014312|3016375,CC-0184
3012859,CC-0185
3015808,CC-0186
3014037,CC-0187
3013716|3013725|3013735,CC-0188
3017211,CC-0189
3014478,CC-0190
3014783,CC-0191
3015557,CC-0192
3015674,CC-0193
3015051,CC-0194
3017328,CC-0195
3018128,CC-0196
3014411,CC-0197
3017880,CC-0198
3017195|3017199,CC-0199
3006024|3009500|3009620|3015717|3015853,CC-0200
3016131|3017425,CC-0201
3017359|3017380,CC-0202
3012955|3014799,CC-0203
3015025,CC-0204
3016269|3016789,CC-0205
3017337,CC-0206
3015079,CC-0207
3019187,CC-0208
3015213|3015829,CC-0209
3019445,CC-0210
3011540|3011564|3018493,CC-0211
3018685,CC-0212
3018631|3019317,CC-0213
3020134,CC-0214
3020232,CC-0215
3018129,CC-0216
3018758,CC-0217
3020148,CC-0218
3020422,CC-0219
3017705,CC-0220
3017516,CC-0221
3020654,CC-0222
3008217|3008237|3008575|3009966|3016957,CC-0223
3020285,CC-0224
3018749,CC-0225
3001580|3006078|3006088|3008495|3015345|3015406|3018146,CC-0226
3020349,CC-0227
3017400|3019089|3019133|3019259|3019376|3019785|3019804|3019958|3019965|3020011|3020021,CC-0228
3021125,CC-0229
3010108|3012793|3019186,CC-0230
3020692,CC-0231
3018241|3018273|3018312|3018315|3018430,CC-0232
3017915,CC-0233
3021425,CC-0234
3020586|3020624,CC-0235
3019066|3021250,CC-0236
3015540|3018609,CC-0237
3005074|3008451|3014534|3014608|3014682|3015252|3015319|3015399|3016560|3017828|3017836,CC-0238
3021887,CC-0239
3017132|3020865,CC-0240
3020576|3020578,CC-0241
3021128,CC-0242
3016079|3016080|3016472|3016483|3017821,CC-0243
3021039,CC-0244
3021843,CC-0245
3019370,CC-0246
3020434,CC-0247
3021812,CC-0248
3022604|3022619|3022632,CC-0249
3018959|3021896,CC-0250
3018221,CC-0251
3022091,CC-0252
3019623,CC-0253
3008657|3011862|3016234|3017580|3017620|3021233,CC-0254
3014915|3014994|3018610|3019093|3019154|3019614|3022316,CC-0255
3021528|3021559,CC-0256
3019389,CC-0257
3019714,CC-0258
3023480,CC-0259
3024000,CC-0260
3023710,CC-0261
3022355,CC-0262
3020849,CC-0263
3023797,CC-0264
3023311,CC-0265
3024170,CC-0266
3024590,CC-0267
3020024,CC-0268
3024461,CC-0269
3023542,CC-0270
3024489,CC-0271
3021927,CC-0272
3014296|3016478|3021713,CC-0273
3021495|3021498|3023783|3023800,CC-0274
3023399,CC-0275
3016231|3023566|3023570,CC-0276
3021740,CC-0277
3023205,CC-0278
3023648|3024089,CC-0279
3022262,CC-0280
3024726,CC-0281
3022971|3024760,CC-0282
3023529,CC-0283
3021611|3021658,CC-0284
3018930|3023427|3023496|3023533|3023609,CC-0285
3022389|3023667,CC-0286
3023281,CC-0287
3020382|3022648,CC-0288
3024924,CC-0289
3009374|3011289|3015408|3015422|3017329|3020058|3022349|3023880,CC-0290
3022078|3024175,CC-0291
3025452,CC-0292
3018827|3021900,CC-0293
3022279,CC-0294
3024693|3024727,CC-0295
3026023,CC-0296
3022248,CC-0297
3026984,CC-0298
3026197,CC-0299
3027653,CC-0300
3026849,CC-0301
3024215,CC-0302
3025127,CC-0303
3022765,CC-0304
3017193|3020833|3022405|3022983,CC-0305
3026352,CC-0306
3024247,CC-0307
3027882,CC-0308
3027037,CC-0309
3027813|3027929,CC-0310
3024122,CC-0311
3024079|3024093|3024126,CC-0312
3025150,CC-0313
3028382,CC-0314
3028428,CC-0315
3026149,CC-0316
3027987,CC-0317
3028543,CC-0318
3028034,CC-0319
3026212,CC-0320
3024869,CC-0321
3021279|3027797|3027830,CC-0322
3024328|3028154,CC-0323
3024554,CC-0324
3028532,CC-0325
3028017,CC-0326
3025619,CC-0327
3016942|3017315|3018566|3020310|3026538,CC-0328
3027363|3027401,CC-0329
3027435,CC-0330
3010909|3010931|3010934|3011272|3012746|3012770|3013205|3013937|3013982|3015426|3015485|3016031|3019489|3022828|3022878|3024107|3025242,CC-0331
3027057,CC-0332
3020863|3022390|3024675|3027059|3027064,CC-0333
3013573|3016251|3016314|3017486|3021897|3022340|3025192|3025256,CC-0334
3026055,CC-0335
3029190,CC-0336
3028697,CC-0337
3028921,CC-0338
3029100,CC-0339
3027478,CC-0340
3025576,CC-0341
3020499|3026321|3026347,CC-0342
3015019|3016184|3016214|3016223|3022222|3026725|3026749|3027125|3027151,CC-0343
3030396,CC-0344
3030424,CC-0345
3028407,CC-0346
3023252|3023256|3023259|3027937|3027978|3027982|3027986|3028004|3028044,CC-0347
3030019,CC-0348
3028754,CC-0349
3031227,CC-0350
3028709,CC-0351
3026769,CC-0352
3026830,CC-0353
3029691,CC-0354
3028288,CC-0355
3030055,CC-0356
3025678|3029776,CC-0357
3025016|3026264|3028648,CC-0358
3030906,CC-0359
3028621,CC-0360
3026148|3027156|3027320|3030241,CC-0361
3030957,CC-0362
3024586|3030970|3031040,CC-0363
3027248|3027561|3027604,CC-0364
3024748|3028713|3029951|3030951|3031006|3032109,CC-0365
3029652|3030551,CC-0366
3030642,CC-0367
3032233,CC-0368
3028556,CC-0369
3030014|3030042|3030311|3030361|3030371|3030384|3030528|3030537|3030620|3030625,CC-0370
3031588,CC-0371
3029752|3029777|3029807|3032111|3032124,CC-0372
3028924,CC-0373
3032623,CC-0374
3029497|3029542,CC-0375
3031228|3031274,CC-0376
3030265|3030298|3031502|3031510|3031512|3031513|3031550,CC-0377
3023976|3029484,CC-0378
3031475|3032438,CC-0379
3033315|3033335|3033343,CC-0380
3030425|3030563,CC-0381
3034258,CC-0382
3033032,CC-0383
3033245,CC-0384
3032303,CC-0385
3033337,CC-0386
3026773|3026795|3029220|3030654|3030701,CC-0387
3034811,CC-0388
3033654,CC-0389
3033053,CC-0390
3031566,CC-0391
3033781,CC-0392
3033472,CC-0393
3032480|3032861,CC-0394
3030883|3034747,CC-0395
3033992,CC-0396
3034699,CC-0397
3031559,CC-0398
3035993,CC-0399
3034531,CC-0400
3033483|3033502,CC-0401
3034748|3034874,CC-0402
3030518|3032080,CC-0403
3028484|3032240|3034359|3034443,CC-0404
3035077,CC-0405
3034031,CC-0406
3035236,CC-0407
3036275,CC-0408
3029665|3033268,CC-0409
3035664|3035680,CC-0410
3033461,CC-0411
3033318,CC-0412
3035998,CC-0413
3034746,CC-0414
3033877,CC-0415
3033941,CC-0416
3035384,CC-0417
3035405|3035433|3035436|3035448|3035477|3035490|3035511,CC-0418
3036086|3036233,CC-0419
3034117,CC-0420
3029395|3035020,CC-0421
3033579,CC-0422
3033967,CC-0423
3035381,CC-0424
3037725,CC-0425
3034985,CC-0426
3033867|3035200|3035237|3035278,CC-0427
3037190,CC-0428
3032177|3033094|3034703|3036381,CC-0429
3038418,CC-0430
3036386,CC-0431
3038607,CC-0432
3038367,CC-0433
3037808,CC-0434
3038831,CC-0435
3037649,CC-0436
3027307|3030037|3034285|3035543|3037718|3037780|3037854|3037986,CC-0437
3038967,CC-0438
3039011,CC-0439
3036992,CC-0440
3039492,CC-0441
3036548,CC-0442
3039956,CC-0443
3039540,CC-0444
3039733,CC-0445
3039229,CC-0446
3032749|3036424|3036436|3036445|3036446,CC-0447
3037736,CC-0448
3038060,CC-0449
3034439|3040043,CC-0450
3037862|3038053|3038114|3038615,CC-0451
3017933|3022016|3028766|3028774|3032580|3032612|3032648|3033610|3035981|3036494|3036497|3036504,CC-0452
3033919|3037359,CC-0453
3039150|3039253|3039469|3039781|3039789|3040275,CC-0454
3031357|3031844|3035242|3035259|3035303|3039278|3039442|3039856,CC-0455
3029719|3029736|3029833|3029985|3031847|3036840,CC-0456
3038533,CC-0457
3037114|3037166|3037261,CC-0458
3041234,CC-0459
3024423|3030253|3036633,CC-0460
3039254,CC-0461
3040382,CC-0462
3004308|3004904|3005494|3005930|3006473|3007571|3011953|3012858|3013587|3015525|3018866|3021068|3024874|3024880|3029948|3030058|3032334|3038729,CC-0463
3040280|3040482,CC-0464
3038741,CC-0465
3039290,CC-0466
3012791|3012922|3018737|3024961|3025566|3025610|3031872|3037062,CC-0467
3041220,CC-0468
3042137,CC-0469
3042445,CC-0470
3041412,CC-0471
3032654|3038288,CC-0472
3041621,CC-0473
3042842,CC-0474
3037895|3037954|3040915,CC-0475
3041723,CC-0476
3041022,CC-0477
3042475,CC-0478
3041404,CC-0479
3019757|3020004|3020583|3022905|3023341|3023938|3031523|3031547|3036867|3036922|3040824|3040910,CC-0480
3039941,CC-0481
3039765|3039767|3039801|3040116|3040120|3040129|3040150|3040167,CC-0482
3043635,CC-0483
3042723,CC-0484
3040545,CC-0485
3042493,CC-0486
3043204,CC-0487
3043733,CC-0488
3043790,CC-0489
3041302,CC-0490
3042013,CC-0491
3044042,CC-0492
3044053,CC-0493
3043682,CC-0494
3043453,CC-0495
3010078|3012878|3017276|3020816|3023168|3027744|3028120|3032536|3034251|3035579|3036333|3042039,CC-0496
3040510|3041273,CC-0497
3031554|3031628|3031686|3032422|3033022|3035524|3036957|3041186|3043181,CC-0498
3042657|3042847,CC-0499
3042529,CC-0500
3030488|3034831|3037527|3038238|3042256,CC-0501
3044202,CC-0502
3040534|3042956,CC-0503
3037369|3039132|3039196|3043063,CC-0504
3021547|3025341|3030339|3036970|3041319,CC-0505
3037792|3041089|3041145,CC-0506
3026078|3026162|3026260|3026350|3026374|3026925|3030001|3030341|3032017|3037272|3042125|3042127,CC-0507
3041850,CC-0508
3039577|3039806|3041493|3041606,CC-0509
3044174,CC-0510
3043573,CC-0511
3043492|3043577,CC-0512
3043135,CC-0513
3041983,CC-0514
3043516,CC-0515
3045489,CC-0516
3044684,CC-0517
3045400,CC-0518
3034681|3038112|3038678|3038768|3038787|3045664|3045696|3046901,CC-0519
3044575,CC-0520
3044693,CC-0521
3045204,CC-0522
3038229|3044512|3046251|3046298,CC-0523
3024432|3025185|3030100|3034169|3037627|3037764|3037772|3037803|3038663|3042486|3044811,CC-0524
3046054,CC-0525
3046516,CC-0526
3038894|3038922|3047100,CC-0527
3044199|3044647|3044712|3046741|3047248|3047302|3047732,CC-0528
3035821|3043628,CC-0529
3044734,CC-0530
3032389|3032398|3032401|3036148|3036178|3037778|3037965|3037994|3038001|3038002|3038017|3038027|3038028|3038040|3038068|3038074|3038096|3038100|3046367,CC-0531
3045976,CC-0532
3032451|3035977|3043251,CC-0533
3047859,CC-0534
3037814|3037888|3044146,CC-0535
3047270,CC-0536
3047296|3047320,CC-0537
3048224,CC-0538
3048101,CC-0539
3044601,CC-0540
3040177|3045925,CC-0541
3046299,CC-0542
3038455|3045564,CC-0543
3046768|3047141,CC-0544
3048324,CC-0545
3047896,CC-0546
3027753|3027888|3033423|3033546|3036126|3040322|3042308|3047922,CC-0547
3034656|3041939|3041965|3042016|3042054|3042106|3043521|3044973,CC-0548
3048759|3048769,CC-0549
3044987,CC-0550
3044927,CC-0551
3046328,CC-0552
3048830,CC-0553
3048211,CC-0554
3041353|3041702|3045671|3045793,CC-0555
3044819,CC-0556
3047737|3047789,CC-0557
3045744,CC-0558
3049113,CC-0559
3048886,CC-0560
3049154,CC-0561
3047903|3048500,CC-0562
3048906,CC-0563
3020801|3026407|3032530|3036269|3036300|3043482|3044730|3046390|3046485|3047564|3047569|3048623,CC-0564
3048163,CC-0565
3049979,CC-0566
3050374,CC-0567
3049301,CC-0568
3050343|3050409|3050443|3050465|3050476,CC-0569
3043982|3049242|3049668,CC-0570
3049541,CC-0571
3049939,CC-0572
3050288,CC-0573
3050325,CC-0574
3049469,CC-0575
3047784,CC-0576
3051107,CC-0577
3025199|3027276|3033694|3039169|3046234,CC-0578
3043893|3050173,CC-0579
3051166,CC-0580
3050290,CC-0581
3049796,CC-0582
3047890,CC-0583
3046725|3046760,CC-0584
3052328,CC-0585
3049972,CC-0586
3052144,CC-0587
3037998|3041257|3045144|3048357|3048431|3049087|3049124,CC-0588
3052755,CC-0589
3047510|3048522|3048565,CC-0590
3052726,CC-0591
3050248,CC-0592
3052128,CC-0593
3052389,CC-0594
3048615,CC-0595
3048808,CC-0596
3043064|3045506|3045598|3050740,CC-0597
3048790,CC-0598
3052533,CC-0599
3052987,CC-0600
3052640,CC-0601
3052786,CC-0602
3052199,CC-0603
3045905|3046229|3049000,CC-0604
3050005,CC-0605
3051701|3051775,CC-0606
3047204|3049662,CC-0607
3051231,CC-0608
3049397,CC-0609
3053173,CC-0610
3045895|3049481|3049515,CC-0611
3049153,CC-0612
3042294|3049679|3049942,CC-0613
3043141|3050874,CC-0614
3051990,CC-0615
3053450,CC-0616
3049402,CC-0617
3050012,CC-0618
3054907,CC-0619
3054022,CC-0620
3053272,CC-0621
3052718,CC-0622
3053433,CC-0623
3053486,CC-0624
3050950,CC-0625
3054524,CC-0626
3053046,CC-0627
3054354,CC-0628
3054392,CC-0629
3055441,CC-0630
3052607|3052737,CC-0631
3050791,CC-0632
3050277,CC-0633
3056161,CC-0634
3056212,CC-0635
3029217|3033872|3033984|3040690|3043718|3044501|3045523|3047260|3047283|3047327|3054501|3054556|3054560|3054797|3054874|3054928,CC-0636
3054725,CC-0637
3052046,CC-0638
3047193|3053034,CC-0639
3053851,CC-0640
3056366,CC-0641
3055216,CC-0642
3051700|3054323,CC-0643
3056709,CC-0644
3053799,CC-0645
3050930|3053265|3053269,CC-0646
3057009,CC-0647
3056555,CC-0648
3055591|3055868,CC-0649
3053763,CC-0650
3052562,CC-0651
3055316,CC-0652
3046178|3048417|3053031,CC-0653
3056778,CC-0654
3055394|3055439,CC-0655
3056646,CC-0656
3056929,CC-0657
3054665,CC-0658
3057214,CC-0659
3053193|3053198|3053199|3053215,CC-0660
3034693|3035838|3035891|3036859|3036886|3040007|3043036|3047183|3047249|3051436|3052552|3057055,CC-0661
3055162|3057015,CC-0662
3053521,CC-0663
3054887,CC-0664
3056387,CC-0665
3056570|3056626,CC-0666
3056253,CC-0667
3040400|3040410|3048593|3048599|3056021,CC-0668
3057877,CC-0669
3057503,CC-0670
3052972|3053856|3055727|3055764,CC-0671
3056146|3056194,CC-0672
3057579,CC-0673
3058475,CC-0674
3058845,CC-0675
3057594,CC-0676
3057987,CC-0677
3058963,CC-0678
3055728,CC-0679
3059052,CC-0680
3057859,CC-0681
3059406,CC-0682
3058081,CC-0683
3058136,CC-0684
3056643,CC-0685
3055261,CC-0686
3059198,CC-0687
3059871|3059998,CC-0688
3057898,CC-0689
3055680,CC-0690
3053244|3058205|3058335,CC-0691
3060275,CC-0692
3057275,CC-0693
3055769|3058943,CC-0694
3059304,CC-0695
3060995,CC-0696
3057989|3058138|3060165,CC-0697
3058217|3059044|3059239,CC-0698
3061378,CC-0699
3009840|3009923|3012375|3013060|3016293|3017478|3017481|3017497|3018253|3020473|3027861|3032504|3032518|3033143|3035292|3035426|3035485|3036173|3036423|3039496|3043896|3045324|3047306|3047319|3047367|3047402|3049312|3049381|3051178|3054340|3058632|3058711|3061370|3061845|3062062|3062064,CC-0700
3061218,CC-0701
3062124,CC-0702
3058962,CC-0703
3059630,CC-0704
3054416|3057343|3057436,CC-0705
3036021|3040197|3046673|3053316|3059514|3060048|3062121,CC-0706
3060732,CC-0707
3055842|3058557,CC-0708
3062079,CC-0709
3060447,CC-0710
3060816|3060883,CC-0711
3061878,CC-0712
3059105|3059150,CC-0713
3061618,CC-0714
3057288|3060940,CC-0715
3062590,CC-0716
3057985,CC-0717
3058998,CC-0718
3061807|3061819,CC-0719
3041330|3042612|3042873|3044787|3044802|3044818|3046510|3046577|3048217|3048377|3048453|3052059|3054283|3055259|3055626|3057554,CC-0720
3059671|3059713,CC-0721
3063253,CC-0722
3062659,CC-0723
3061799|3061818|3061864|3062902|3062997,CC-0724
3063379,CC-0725
3063048,CC-0726
3060139,CC-0727
3059851,CC-0728
3062637,CC-0729
3055096|3055155|3063734|3063802,CC-0730
3057613|3063200,CC-0731
3063606,CC-0732
3063255,CC-0733
3063957|3064198,CC-0734
3063296,CC-0735
3063409,CC-0736
3057298|3057821|3057910|3061292|3061898,CC-0737
3064741|3064751|3064795|3064888,CC-0738
3064901,CC-0739
3062602,CC-0740
3066008,CC-0741
3065085,CC-0742
3064480,CC-0743
3061383,CC-0744
3066458,CC-0745
3060243|3060318,CC-0746
3065589|3065658|3065718,CC-0747
3064444,CC-0748
3066141,CC-0749
3048717|3054432|3054521|3055827|3058351|3058358|3058433|3063760|3065578,CC-0750
3063136,CC-0751
3066537,CC-0752
3064700,CC-0753
3066278,CC-0754
3064716|3066796|3066821,CC-0755
3066090,CC-0756
3065576,CC-0757
3066271,CC-0758
3065788,CC-0759
3066888,CC-0760
3066859,CC-0761
3064413,CC-0762
3065813,CC-0763
3055045|3062368,CC-0764
3035514|3037820|3041471|3046450|3051040|3055339|3055384|3055413|3058830|3059799|3059825|3063989|3063997,CC-0765
3059664|3066021|3066091,CC-0766
3062660,CC-0767
3067437,CC-0768
3067444,CC-0769
3064124,CC-0770
3064502|3065178|3065247,CC-0771
3050677|3059117|3067027,CC-0772
3052652|3057397|3065481,CC-0773
3061447|3065879|3065947|3066051|3066137,CC-0774
3065715|3066450,CC-0775
3068486,CC-0776
3067172,CC-0777
3063117,CC-0778
3060895|3065204|3065323,CC-0779
3066801,CC-0780
3068202,CC-0781
3064056,CC-0782
3065773,CC-0783
3062538,CC-0784
3068764,CC-0785
3068957,CC-0786
3069306,CC-0787
3056574|3062587|3065956|3066692|3066892|3066902|3067061,CC-0788
3068673,CC-0789
3067530,CC-0790
3065022|3065120|3065126,CC-0791
3066571,CC-0792
3066149,CC-0793
3069451,CC-0794
3067526,CC-0795
3069655,CC-0796
3064185,CC-0797
3067009,CC-0798
3064593,CC-0799
3066541|3066621|3066750|3066774,CC-0800
3066913,CC-0801
3070660,CC-0802
3070548,CC-0803
3068280,CC-0804
3068775,CC-0805
3060648|3060655|3060803|3064842|3064854|3064886|3064938|3064942|3066790,CC-0806
3069812,CC-0807
3069497,CC-0808
3070534,CC-0809
3065890,CC-0810
3069116,CC-0811
3069437,CC-0812
3068893|3069770|3070942,CC-0813
3071386,CC-0814
3070750,CC-0815
3070971,CC-0816
3070494,CC-0817
3071069,CC-0818
3070880,CC-0819
3067064|3067098,CC-0820
3067755,CC-0821
3068302|3068456,CC-0822
3068115,CC-0823
3063258|3067837,CC-0824
3057212|3057677|3062769|3068367,CC-0825
3068476,CC-0826
3066767|3067479,CC-0827
3072230,CC-0828
3045743|3053196|3054546|3062431|3069589|3069706|3070348,CC-0829
3060654|3069067,CC-0830
3072335,CC-0831
3072370,CC-0832
3072464,CC-0833
3061629|3062355|3062358|3070669,CC-0834
3065957|3067282,CC-0835
3071867,CC-0836
3068654,CC-0837
3062301|3066592|3071853|3072030,CC-0838
3071936,CC-0839
3073879,CC-0840
3072005,CC-0841
3072965|3073115,CC-0842
3073124,CC-0843
3073630,CC-0844
3073694,CC-0845
3073395,CC-0846
3074512,CC-0847
3072725,CC-0848
3065357|3065401|3065415|3065441|3065582|3069830,CC-0849
3067804|3068970,CC-0850
3072560,CC-0851
3073367,CC-0852
3070969,CC-0853
3074540,CC-0854
3069383,CC-0855
3071625|3071647,CC-0856
3067120|3071777,CC-0857
3069032,CC-0858
3071665,CC-0859
3070892|3073502|3073582|3074218,CC-0860
3075626,CC-0861
3073861,CC-0862
3070067,CC-0863
3074951,CC-0864
3075657,CC-0865
3062876|3062908|3072604|3072665|3072715|3072736|3072883|3072896|3076686,CC-0866
3071771,CC-0867
3076544|3076579|3076590|3076752,CC-0868
3063052|3070741|3072026|3072059|3072330|3072334|3072405,CC-0869
3076370,CC-0870
3076247,CC-0871
3074924,CC-0872
3076736,CC-0873
3076518,CC-0874
3073334,CC-0875
3074792,CC-0876
3076648,CC-0877
3076490|3076555|3076565,CC-0878
3074553|3074600|3074661|3074687|3074755,CC-0879
3074970,CC-0880
3077162,CC-0881
3078162,CC-0882
3071606|3075494,CC-0883
3074243|3074518,CC-0884
3077502,CC-0885
3078273,CC-0886
3077009,CC-0887
3077400,CC-0888
3077784,CC-0889
3073101,CC-0890
3074208,CC-0891
3077718,CC-0892
3077792,CC-0893
3079708,CC-0894
3079770,CC-0895
3078520,CC-0896
3079412,CC-0897
3079531,CC-0898
3074894|3076002|3076059|3076950,CC-0899
3078479,CC-0900
3078574,CC-0901
3079040,CC-0902
3077870,CC-0903
3079176,CC-0904
3080047,CC-0905
3080183,CC-0906
3079533,CC-0907
3078674,CC-0908
3079124,CC-0909
3078793,CC-0910
3079276,CC-0911
3080836,CC-0912
3074159,CC-0913
3074598|3074750|3076959|3080610,CC-0914
3070508|3077392,CC-0915
3080097|3080170|3080456,CC-0916
3076663,CC-0917
3081623,CC-0918
3079733,CC-0919
3080116,CC-0920
3081614,CC-0921
3081155,CC-0922
3080124,CC-0923
3080540,CC-0924
3080295,CC-0925
3076878,CC-0926
3076793|3080111,CC-0927
3081570,CC-0928
3080656,CC-0929
3078978,CC-0930
3081309,CC-0931
3070947|3080272,CC-0932
3081809,CC-0933
3081369,CC-0934
3081655,CC-0935
3079501|3079691,CC-0936
3080201,CC-0937
3081986,CC-0938
3076915,CC-0939
3081866,CC-0940
3078483,CC-0941
3078965,CC-0942
3066779|3072920|3073076|3073096|3073238|3073265|3074825|3074873|3076419|3076553|3077233,CC-0943
3080202,CC-0944
3078495|3078629,CC-0945
3082513,CC-0946
3081549,CC-0947
3080764,CC-0948
3078583|3078755|3080257|3080731|3080777|3083019,CC-0949
3082241,CC-0950
3083109,CC-0951
3083139,CC-0952
3083583,CC-0953
3083294,CC-0954
3084012,CC-0955
3083278,CC-0956
3083438,CC-0957
3083458,CC-0958
3084057,CC-0959
3079339|3079368|3079417,CC-0960
3079626,CC-0961
3083577,CC-0962
3084445,CC-0963
3082987,CC-0964
3084624,CC-0965
3083794,CC-0966
3083436,CC-0967
3084700,CC-0968
3083985,CC-0969
3079419,CC-0970
3082254,CC-0971
3085175,CC-0972
3080811,CC-0973
3086050,CC-0974
3076514|3077222|3079757|3079760|3079837,CC-0975
3079937|3080620|3080806|3082414,CC-0976
3085784,CC-0977
3082377,CC-0978
3086446,CC-0979
3079131,CC-0980
3010163|3010219|3011097|3012611|3013694|3013695|3018743|3019269|3020744|3027669|3028219|3028438|3030296|3031071|3031593|3032133|3034694|3036530|3037543|3037614|3041240|3046096|3048911|3049146|3050537|3051448|3051482|3052914|3053362|3056180|3064074|3066843|3066855|3075627|3076385|3078453|3078497|3080655|3080697,CC-0981
3085928,CC-0982
3085206,CC-0983
3085095,CC-0984
3082280,CC-0985
3087162,CC-0986
3085769,CC-0987
3085882,CC-0988
3082343,CC-0989
3081740,CC-0990
3086457,CC-0991
3086823,CC-0992
