transaction_id,region_id
3000688,REGION_485.0
3000689,REGION_272.0
3000690,REGION_143.0
3000691,REGION_337.0
3000692,REGION_308.0
3000693,REGION_184.0
3000694,REGION_204.0
3000695,REGION_441.0
3000696,REGION_472.0
3000697,REGION_184.0
3000698,REGION_325.0
3000699,REGION_181.0
3000700,REGION_272.0
3000701,REGION_191.0
3000702,REGION_203.0
3000703,REGION_441.0
3000704,REGION_325.0
3000705,REGION_184.0
3000706,REGION_325.0
3000707,REGION_269.0
3000708,REGION_485.0
3000709,REGION_204.0
3000710,REGION_330.0
3000711,REGION_272.0
3000712,REGION_325.0
3000713,REGION_325.0
3000714,REGION_299.0
3000715,REGION_330.0
3000716,REGION_387.0
3000717,REGION_231.0
3000718,REGION_337.0
3000719,REGION_272.0
3000720,REGION_441.0
3000721,REGION_251.0
3000722,REGION_191.0
3000723,REGION_204.0
3000724,REGION_436.0
3000725,REGION_299.0
3000726,REGION_299.0
3000727,REGION_325.0
3000728,REGION_191.0
3000729,REGION_191.0
3000730,REGION_325.0
3000731,REGION_204.0
3000732,REGION_441.0
3000733,REGION_330.0
3000734,REGION_325.0
3000735,REGION_315.0
3000736,REGION_-1.0
3000737,REGION_143.0
3000738,REGION_387.0
3000739,REGION_325.0
3000740,REGION_325.0
3000741,REGION_177.0
3000742,REGION_330.0
3000743,REGION_325.0
3000744,REGION_143.0
3000745,REGION_441.0
3000746,REGION_498.0
3000747,REGION_325.0
3000748,REGION_330.0
3000749,REGION_325.0
3000750,REGION_325.0
3000751,REGION_264.0
3000752,REGION_272.0
3000753,REGION_264.0
3000754,REGION_337.0
3000755,REGION_308.0
3000756,REGION_441.0
3000757,REGION_110.0
3000758,REGION_441.0
3000759,REGION_315.0
3000760,REGION_184.0
3000761,REGION_337.0
3000762,REGION_441.0
3000763,REGION_264.0
3000764,REGION_181.0
3000765,REGION_299.0
3000766,REGION_-1.0
3000767,REGION_181.0
3000768,REGION_-1.0
3000769,REGION_299.0
3000770,REGION_264.0
3000771,REGION_272.0
3000772,REGION_315.0
3000773,REGION_123.0
3000774,REGION_143.0
3000775,REGION_272.0
3000776,REGION_170.0
3000777,REGION_327.0
3000778,REGION_203.0
3000779,REGION_315.0
3000780,REGION_299.0
3000781,REGION_315.0
3000782,REGION_110.0
3000783,REGION_325.0
3000784,REGION_203.0
3000785,REGION_299.0
3000786,REGION_441.0
3000787,REGION_126.0
3000788,REGION_204.0
3000789,REGION_158.0
3000790,REGION_143.0
3000791,REGION_299.0
3000792,REGION_428.0
3000793,REGION_476.0
3000794,REGION_469.0
3000795,REGION_330.0
3000796,REGION_444.0
3000797,REGION_387.0
3000798,REGION_264.0
3000799,REGION_184.0
3000800,REGION_330.0
3000801,REGION_123.0
3000802,REGION_264.0
3000803,REGION_272.0
3000804,REGION_204.0
3000805,REGION_-1.0
3000806,REGION_220.0
3000807,REGION_264.0
3000808,REGION_204.0
3000809,REGION_325.0
3000810,REGION_253.0
3000811,REGION_126.0
3000812,REGION_330.0
3000813,REGION_441.0
3000814,REGION_325.0
3000815,REGION_-1.0
3000816,REGION_269.0
3000817,REGION_191.0
3000818,REGION_327.0
3000819,REGION_315.0
3000820,REGION_170.0
3000821,REGION_272.0
3000822,REGION_191.0
3000823,REGION_441.0
3000824,REGION_387.0
3000825,REGION_204.0
3000826,REGION_469.0
3000827,REGION_123.0
3000828,REGION_231.0
3000829,REGION_327.0
3000830,REGION_492.0
3000831,REGION_231.0
3000832,REGION_476.0
3000833,REGION_272.0
3000834,REGION_272.0
3000835,REGION_264.0
3000836,REGION_264.0
3000837,REGION_203.0
3000838,REGION_315.0
3000839,REGION_205.0
3000840,REGION_184.0
3000841,REGION_264.0
3000842,REGION_428.0
3000843,REGION_123.0
3000844,REGION_264.0
3000845,REGION_126.0
3000846,REGION_204.0
3000847,REGION_315.0
3000848,REGION_204.0
3000849,REGION_494.0
3000850,REGION_177.0
3000851,REGION_310.0
3000852,REGION_330.0
3000853,REGION_123.0
3000854,REGION_204.0
3000855,REGION_325.0
3000856,REGION_204.0
3000857,REGION_184.0
3000858,REGION_203.0
3000859,REGION_269.0
3000860,REGION_299.0
3000861,REGION_330.0
3000862,REGION_184.0
3000863,REGION_181.0
3000864,REGION_299.0
3000865,REGION_299.0
3000866,REGION_308.0
3000867,REGION_269.0
3000868,REGION_204.0
3000869,REGION_428.0
3000870,REGION_494.0
3000871,REGION_315.0
3000872,REGION_181.0
3000873,REGION_170.0
3000874,REGION_272.0
3000875,REGION_143.0
3000876,REGION_310.0
3000877,REGION_191.0
3000878,REGION_315.0
3000879,REGION_325.0
3000880,REGION_469.0
3000881,REGION_220.0
3000882,REGION_476.0
3000883,REGION_264.0
3000884,REGION_126.0
3000885,REGION_310.0
3000886,REGION_181.0
3000887,REGION_512.0
3000888,REGION_181.0
3000889,REGION_325.0
3000890,REGION_191.0
3000891,REGION_181.0
3000892,REGION_441.0
3000893,REGION_315.0
3000894,REGION_325.0
3000895,REGION_325.0
3000896,REGION_143.0
3000897,REGION_123.0
3000898,REGION_337.0
3000899,REGION_-1.0
3000900,REGION_204.0
3000901,REGION_337.0
3000902,REGION_330.0
3000903,REGION_203.0
3000904,REGION_272.0
3000905,REGION_226.0
3000906,REGION_433.0
3000907,REGION_299.0
3000908,REGION_325.0
3000909,REGION_315.0
3000910,REGION_181.0
3000911,REGION_441.0
3000912,REGION_441.0
3000913,REGION_272.0
3000914,REGION_420.0
3000915,REGION_485.0
3000916,REGION_204.0
3000917,REGION_272.0
3000918,REGION_485.0
3000919,REGION_494.0
3000920,REGION_204.0
3000921,REGION_441.0
3000922,REGION_-1.0
3000923,REGION_191.0
3000924,REGION_315.0
3000925,REGION_476.0
3000926,REGION_184.0
3000927,REGION_299.0
3000928,REGION_315.0
3000929,REGION_264.0
3000930,REGION_337.0
3000931,REGION_315.0
3000932,REGION_-1.0
3000933,REGION_123.0
3000934,REGION_337.0
3000935,REGION_299.0
3000936,REGION_191.0
3000937,REGION_110.0
3000938,REGION_299.0
3000939,REGION_327.0
3000940,REGION_126.0
3000941,REGION_325.0
3000942,REGION_476.0
3000943,REGION_126.0
3000944,REGION_204.0
3000945,REGION_-1.0
3000946,REGION_251.0
3000947,REGION_264.0
3000948,REGION_264.0
3000949,REGION_327.0
3000950,REGION_204.0
3000951,REGION_387.0
3000952,REGION_269.0
3000953,REGION_264.0
3000954,REGION_299.0
3000955,REGION_485.0
3000956,REGION_441.0
3000957,REGION_177.0
3000958,REGION_512.0
3000959,REGION_494.0
3000960,REGION_-1.0
3000961,REGION_191.0
3000962,REGION_325.0
3000963,REGION_299.0
3000964,REGION_122.0
3000965,REGION_203.0
3000966,REGION_310.0
3000967,REGION_204.0
3000968,REGION_126.0
3000969,REGION_264.0
3000970,REGION_330.0
3000971,REGION_272.0
3000972,REGION_126.0
3000973,REGION_-1.0
3000974,REGION_143.0
3000975,REGION_143.0
3000976,REGION_194.0
3000977,REGION_251.0
3000978,REGION_181.0
3000979,REGION_231.0
3000980,REGION_433.0
3000981,REGION_472.0
3000982,REGION_330.0
3000983,REGION_299.0
3000984,REGION_194.0
3000985,REGION_191.0
3000986,REGION_181.0
3000987,REGION_325.0
3000988,REGION_337.0
3000989,REGION_225.0
3000990,REGION_204.0
3000991,REGION_441.0
3000992,REGION_204.0
3000993,REGION_126.0
3000994,REGION_476.0
3000995,REGION_315.0
3000996,REGION_472.0
3000997,REGION_225.0
3000998,REGION_310.0
3000999,REGION_299.0
3001000,REGION_325.0
3001001,REGION_264.0
3001002,REGION_472.0
3001003,REGION_387.0
3001004,REGION_251.0
3001005,REGION_310.0
3001006,REGION_325.0
3001007,REGION_181.0
3001008,REGION_123.0
3001009,REGION_310.0
3001010,REGION_225.0
3001011,REGION_441.0
3001012,REGION_204.0
3001013,REGION_143.0
3001014,REGION_191.0
3001015,REGION_251.0
3001016,REGION_272.0
3001017,REGION_433.0
3001018,REGION_123.0
3001019,REGION_191.0
3001020,REGION_181.0
3001021,REGION_177.0
3001022,REGION_330.0
3001023,REGION_181.0
3001024,REGION_-1.0
3001025,REGION_441.0
3001026,REGION_-1.0
3001027,REGION_-1.0
3001028,REGION_123.0
3001029,REGION_126.0
3001030,REGION_205.0
3001031,REGION_231.0
3001032,REGION_181.0
3001033,REGION_184.0
3001034,REGION_203.0
3001035,REGION_315.0
3001036,REGION_205.0
3001037,REGION_204.0
3001038,REGION_325.0
3001039,REGION_308.0
3001040,REGION_325.0
3001041,REGION_-1.0
3001042,REGION_184.0
3001043,REGION_441.0
3001044,REGION_330.0
3001045,REGION_126.0
3001046,REGION_204.0
3001047,REGION_123.0
3001048,REGION_441.0
3001049,REGION_384.0
3001050,REGION_123.0
3001051,REGION_441.0
3001052,REGION_269.0
3001053,REGION_325.0
3001054,REGION_299.0
3001055,REGION_231.0
3001056,REGION_448.0
3001057,REGION_325.0
3001058,REGION_204.0
3001059,REGION_315.0
3001060,REGION_441.0
3001061,REGION_184.0
3001062,REGION_512.0
3001063,REGION_299.0
3001064,REGION_184.0
3001065,REGION_315.0
3001066,REGION_441.0
3001067,REGION_433.0
3001068,REGION_299.0
3001069,REGION_203.0
3001070,REGION_337.0
3001071,REGION_158.0
3001072,REGION_191.0
3001073,REGION_330.0
3001074,REGION_327.0
3001075,REGION_325.0
3001076,REGION_485.0
3001077,REGION_325.0
3001078,REGION_325.0
3001079,REGION_191.0
3001080,REGION_315.0
3001081,REGION_225.0
3001082,REGION_325.0
3001083,REGION_225.0
3001084,REGION_203.0
3001085,REGION_204.0
3001086,REGION_-1.0
3001087,REGION_220.0
3001088,REGION_387.0
3001089,REGION_325.0
3001090,REGION_299.0
3001091,REGION_203.0
3001092,REGION_485.0
3001093,REGION_204.0
3001094,REGION_492.0
3001095,REGION_299.0
3001096,REGION_472.0
3001097,REGION_203.0
3001098,REGION_126.0
3001099,REGION_225.0
3001100,REGION_264.0
3001101,REGION_-1.0
3001102,REGION_-1.0
3001103,REGION_494.0
3001104,REGION_191.0
3001105,REGION_251.0
3001106,REGION_181.0
3001107,REGION_191.0
3001108,REGION_325.0
3001109,REGION_310.0
3001110,REGION_272.0
3001111,REGION_325.0
3001112,REGION_330.0
3001113,REGION_272.0
3001114,REGION_476.0
3001115,REGION_272.0
3001116,REGION_325.0
3001117,REGION_299.0
3001118,REGION_191.0
3001119,REGION_204.0
3001120,REGION_143.0
3001121,REGION_272.0
3001122,REGION_325.0
3001123,REGION_226.0
3001124,REGION_264.0
3001125,REGION_387.0
3001126,REGION_191.0
3001127,REGION_476.0
3001128,REGION_476.0
3001129,REGION_387.0
3001130,REGION_476.0
3001131,REGION_191.0
3001132,REGION_272.0
3001133,REGION_225.0
3001134,REGION_204.0
3001135,REGION_184.0
3001136,REGION_204.0
3001137,REGION_472.0
3001138,REGION_191.0
3001139,REGION_299.0
3001140,REGION_315.0
3001141,REGION_327.0
3001142,REGION_299.0
3001143,REGION_272.0
3001144,REGION_184.0
3001145,REGION_143.0
3001146,REGION_315.0
3001147,REGION_181.0
3001148,REGION_299.0
3001149,REGION_181.0
3001150,REGION_204.0
3001151,REGION_327.0
3001152,REGION_337.0
3001153,REGION_177.0
3001154,REGION_433.0
3001155,REGION_310.0
3001156,REGION_330.0
3001157,REGION_337.0
3001158,REGION_512.0
